Starting new run: Thu Jul 06 15:08:57 2023

alphaCam;alphaDotCam;systemTime
0.000000;0.000000;Thu Jul 06 15:09:01 2023
0.005435;0.360447;Thu Jul 06 15:09:01 2023
0.000000;-0.359844;Thu Jul 06 15:09:01 2023
0.005435;0.360459;Thu Jul 06 15:09:01 2023
0.000000;-0.361017;Thu Jul 06 15:09:01 2023
0.000000;0.000000;Thu Jul 06 15:09:01 2023
0.000000;0.000000;Thu Jul 06 15:09:01 2023
0.000000;0.000000;Thu Jul 06 15:09:01 2023
0.000000;0.000000;Thu Jul 06 15:09:01 2023
0.000000;0.000000;Thu Jul 06 15:09:01 2023
0.005405;0.360764;Thu Jul 06 15:09:01 2023
0.000000;-0.360999;Thu Jul 06 15:09:01 2023
0.005405;0.359548;Thu Jul 06 15:09:01 2023
0.000000;-0.360233;Thu Jul 06 15:09:01 2023
0.005435;0.362864;Thu Jul 06 15:09:01 2023
0.000000;-0.363559;Thu Jul 06 15:09:01 2023
0.005405;0.361070;Thu Jul 06 15:09:01 2023
0.005435;0.001966;Thu Jul 06 15:09:01 2023
0.005405;-0.001969;Thu Jul 06 15:09:01 2023
0.000000;-0.362182;Thu Jul 06 15:09:01 2023
0.000000;0.000000;Thu Jul 06 15:09:01 2023
-0.005435;-0.364543;Thu Jul 06 15:09:01 2023
0.000000;0.364532;Thu Jul 06 15:09:01 2023
0.000000;0.000000;Thu Jul 06 15:09:01 2023
0.000000;0.000000;Thu Jul 06 15:09:01 2023
0.000000;0.000000;Thu Jul 06 15:09:01 2023
0.005405;0.363524;Thu Jul 06 15:09:01 2023
0.005435;0.001970;Thu Jul 06 15:09:01 2023
0.005405;-0.001973;Thu Jul 06 15:09:01 2023
0.005405;0.000000;Thu Jul 06 15:09:01 2023
0.005405;0.000000;Thu Jul 06 15:09:01 2023
0.005435;0.001981;Thu Jul 06 15:09:01 2023
0.000000;-0.365914;Thu Jul 06 15:09:01 2023
0.000000;0.000000;Thu Jul 06 15:09:01 2023
0.000000;0.000000;Thu Jul 06 15:09:01 2023
0.000000;0.000000;Thu Jul 06 15:09:01 2023
0.000000;0.000000;Thu Jul 06 15:09:01 2023
0.000000;0.000000;Thu Jul 06 15:09:01 2023
0.000000;0.000000;Thu Jul 06 15:09:01 2023
0.005435;0.365757;Thu Jul 06 15:09:01 2023
0.005435;0.000000;Thu Jul 06 15:09:01 2023
0.005435;0.000000;Thu Jul 06 15:09:01 2023
0.005435;0.000000;Thu Jul 06 15:09:01 2023
0.005405;-0.001976;Thu Jul 06 15:09:01 2023
0.005435;0.001976;Thu Jul 06 15:09:01 2023
0.000000;-0.365556;Thu Jul 06 15:09:01 2023
0.005405;0.363456;Thu Jul 06 15:09:01 2023
0.005405;0.000000;Thu Jul 06 15:09:01 2023
0.000000;-0.364118;Thu Jul 06 15:09:01 2023
0.005464;0.368370;Thu Jul 06 15:09:01 2023
0.005435;-0.002002;Thu Jul 06 15:09:01 2023
0.000000;-0.366541;Thu Jul 06 15:09:01 2023
0.005405;0.364691;Thu Jul 06 15:09:01 2023
0.000000;-0.364912;Thu Jul 06 15:09:01 2023
0.000000;0.000000;Thu Jul 06 15:09:01 2023
0.005405;0.363470;Thu Jul 06 15:09:01 2023
0.000000;-0.363734;Thu Jul 06 15:09:01 2023
0.000000;0.000000;Thu Jul 06 15:09:01 2023
0.005405;0.364155;Thu Jul 06 15:09:01 2023
0.000000;-0.364381;Thu Jul 06 15:09:01 2023
0.000000;0.000000;Thu Jul 06 15:09:01 2023
0.000000;0.000000;Thu Jul 06 15:09:01 2023
0.000000;0.000000;Thu Jul 06 15:09:01 2023
0.000000;0.000000;Thu Jul 06 15:09:01 2023
0.005405;0.365218;Thu Jul 06 15:09:01 2023
0.005435;0.001986;Thu Jul 06 15:09:01 2023
0.000000;-0.367375;Thu Jul 06 15:09:01 2023
0.005435;0.367693;Thu Jul 06 15:09:01 2023
0.000000;-0.367725;Thu Jul 06 15:09:01 2023
0.005405;0.365820;Thu Jul 06 15:09:01 2023
0.000000;-0.365952;Thu Jul 06 15:09:01 2023
0.000000;0.000000;Thu Jul 06 15:09:01 2023
0.000000;0.000000;Thu Jul 06 15:09:02 2023
0.000000;0.000000;Thu Jul 06 15:09:02 2023
0.005405;0.366450;Thu Jul 06 15:09:02 2023
0.005435;0.001992;Thu Jul 06 15:09:02 2023
0.000000;-0.368635;Thu Jul 06 15:09:02 2023
0.000000;0.000000;Thu Jul 06 15:09:02 2023
0.005405;0.367050;Thu Jul 06 15:09:02 2023
0.005405;0.000000;Thu Jul 06 15:09:02 2023
0.005405;0.000000;Thu Jul 06 15:09:02 2023
0.005435;0.001995;Thu Jul 06 15:09:02 2023
0.005405;-0.001997;Thu Jul 06 15:09:02 2023
0.000000;-0.367670;Thu Jul 06 15:09:02 2023
0.005435;0.369775;Thu Jul 06 15:09:02 2023
0.000000;-0.369774;Thu Jul 06 15:09:02 2023
0.005405;0.367965;Thu Jul 06 15:09:02 2023
0.005405;0.000000;Thu Jul 06 15:09:02 2023
0.005405;0.000000;Thu Jul 06 15:09:02 2023
0.000000;-0.368021;Thu Jul 06 15:09:02 2023
0.005435;0.370387;Thu Jul 06 15:09:02 2023
0.005435;0.000000;Thu Jul 06 15:09:02 2023
0.005405;-0.002002;Thu Jul 06 15:09:02 2023
0.000000;-0.368692;Thu Jul 06 15:09:02 2023
0.005405;0.369031;Thu Jul 06 15:09:02 2023
0.005435;0.002006;Thu Jul 06 15:09:02 2023
0.000000;-0.370427;Thu Jul 06 15:09:02 2023
0.005405;0.368790;Thu Jul 06 15:09:02 2023
0.000000;-0.369258;Thu Jul 06 15:09:02 2023
0.000000;0.000000;Thu Jul 06 15:09:02 2023
0.005435;0.371464;Thu Jul 06 15:09:02 2023
0.005405;-0.002010;Thu Jul 06 15:09:02 2023
0.005405;0.000000;Thu Jul 06 15:09:02 2023
0.000000;-0.369806;Thu Jul 06 15:09:02 2023
0.005405;0.370169;Thu Jul 06 15:09:02 2023
0.005405;0.000000;Thu Jul 06 15:09:02 2023
0.005405;0.000000;Thu Jul 06 15:09:02 2023
0.000000;-0.370278;Thu Jul 06 15:09:02 2023
0.005405;0.370562;Thu Jul 06 15:09:02 2023
0.005405;0.000000;Thu Jul 06 15:09:02 2023
0.005405;0.000000;Thu Jul 06 15:09:02 2023
0.005435;0.002013;Thu Jul 06 15:09:02 2023
0.005405;-0.002015;Thu Jul 06 15:09:02 2023
0.005405;0.000000;Thu Jul 06 15:09:02 2023
0.005435;0.002017;Thu Jul 06 15:09:02 2023
0.000000;-0.372997;Thu Jul 06 15:09:02 2023
0.000000;0.000000;Thu Jul 06 15:09:02 2023
0.005405;0.371365;Thu Jul 06 15:09:02 2023
0.005405;0.000000;Thu Jul 06 15:09:02 2023
0.005405;0.000000;Thu Jul 06 15:09:02 2023
0.005435;0.002019;Thu Jul 06 15:09:02 2023
0.000000;-0.373712;Thu Jul 06 15:09:02 2023
0.010869;0.747826;Thu Jul 06 15:09:02 2023
0.005405;-0.375570;Thu Jul 06 15:09:02 2023
0.005405;0.000000;Thu Jul 06 15:09:02 2023
0.005435;0.002020;Thu Jul 06 15:09:02 2023
0.000000;-0.374059;Thu Jul 06 15:09:02 2023
0.005435;0.374041;Thu Jul 06 15:09:02 2023
0.005405;-0.002020;Thu Jul 06 15:09:02 2023
0.005405;0.000000;Thu Jul 06 15:09:02 2023
0.000000;-0.371445;Thu Jul 06 15:09:02 2023
0.000000;0.000000;Thu Jul 06 15:09:02 2023
0.005405;0.371077;Thu Jul 06 15:09:02 2023
0.005435;0.002016;Thu Jul 06 15:09:02 2023
0.005435;0.000000;Thu Jul 06 15:09:02 2023
0.005435;0.000000;Thu Jul 06 15:09:02 2023
0.000000;-0.372264;Thu Jul 06 15:09:02 2023
0.000000;0.000000;Thu Jul 06 15:09:02 2023
0.000000;0.000000;Thu Jul 06 15:09:02 2023
0.000000;0.000000;Thu Jul 06 15:09:02 2023
0.000000;0.000000;Thu Jul 06 15:09:02 2023
0.000000;0.000000;Thu Jul 06 15:09:02 2023
0.000000;0.000000;Thu Jul 06 15:09:02 2023
0.000000;0.000000;Thu Jul 06 15:09:02 2023
0.000000;0.000000;Thu Jul 06 15:09:02 2023
0.005405;0.371211;Thu Jul 06 15:09:03 2023
0.005435;0.002017;Thu Jul 06 15:09:03 2023
0.005405;-0.002016;Thu Jul 06 15:09:03 2023
0.005405;0.000000;Thu Jul 06 15:09:03 2023
0.000000;-0.370347;Thu Jul 06 15:09:03 2023
