Starting new run:  K= -1.000000, -1.661800, 36.745900, -1.622700, 3.242100 - Fri Jun 30 13:06:12 2023

alphaQube;alphaDotQube;thetaQube;thetaDotQube;z;thetaTarget;p1x;p1y;p2x;p2y;alphaCam;alphaDotCam;cameraAngle;twoDotCheck;Kx;KxCam;alphaFiltered;alphaDotFiltered;alphaFilteredGated;alphaDotFilteredGated;camControl;systemTime
0.003068;-0.306796;0.006136;0.000000;0.171714;0.000000;61.500000;90.500000;251.500000;87.500000;0.015788;-0.025361;0.904595;1;-1.063839;-0.789104;0.013094;-0.048187;0.013094;0.255345;0;Fri Jun 30 13:06:29 2023
0.003068;0.000000;0.006136;0.000000;0.171775;0.000000;62.500000;89.500000;251.500000;88.500000;0.005291;-1.051233;0.303149;1;-0.069237;0.299192;0.011881;-0.202215;0.011881;-0.121476;0;Fri Jun 30 13:06:29 2023
0.006136;0.306796;0.009204;0.306796;0.171867;0.000000;61.500000;90.500000;251.500000;88.500000;0.010526;0.524256;0.603091;1;0.535133;0.746254;0.009995;0.046350;0.009995;-0.188906;0;Fri Jun 30 13:06:29 2023
0.009204;0.306796;0.009204;0.000000;0.171959;0.000000;61.500000;90.500000;251.500000;88.500000;0.010526;0.000000;0.603091;1;1.145615;1.174685;0.010247;-0.161796;0.010247;0.025245;0;Fri Jun 30 13:06:29 2023
0.006136;-0.306796;0.006136;-0.306796;0.172021;0.000000;61.500000;90.500000;251.500000;88.500000;0.010526;0.000000;0.603091;1;-0.453573;-0.302505;0.010379;0.129295;0.010379;0.013259;0;Fri Jun 30 13:06:29 2023
0.003068;-0.306796;0.006136;0.000000;0.172082;0.000000;63.500000;91.500000;251.500000;88.500000;0.015956;0.543811;0.914217;1;-1.064207;-0.795539;0.011738;0.350172;0.011738;0.136064;0;Fri Jun 30 13:06:30 2023
0.003068;0.000000;0.006136;0.000000;0.172143;0.000000;63.500000;89.500000;251.500000;88.500000;0.005319;-1.065255;0.304762;1;-0.069605;0.248988;0.011216;-0.356270;0.011216;-0.052330;0;Fri Jun 30 13:06:30 2023
0.006136;0.306796;0.006136;0.000000;0.172205;0.000000;63.500000;89.500000;251.500000;89.500000;0.000000;-0.532690;0.000000;1;1.037732;1.224390;0.007153;-0.469016;0.007153;-0.406837;0;Fri Jun 30 13:06:30 2023
0.006136;0.000000;0.006136;0.000000;0.172266;0.000000;62.500000;91.500000;250.500000;88.500000;0.015956;1.597910;0.914217;1;0.043007;0.080388;0.007545;0.306595;0.007545;0.039221;0;Fri Jun 30 13:06:30 2023
0.006136;0.000000;0.006136;0.000000;0.172327;0.000000;61.500000;90.500000;251.500000;88.500000;0.010526;-0.543812;0.603091;1;0.042946;0.094717;0.010249;0.221065;0.010249;0.270851;0;Fri Jun 30 13:06:30 2023
0.003068;-0.306796;0.003068;-0.306796;0.172358;0.000000;61.500000;90.500000;250.500000;87.500000;0.015872;0.535356;0.909380;1;-0.561547;-0.297660;0.011650;0.539357;0.011650;0.140243;0;Fri Jun 30 13:06:30 2023
0.003068;0.000000;0.003068;0.000000;0.172389;0.000000;63.500000;90.500000;251.500000;88.500000;0.010638;-0.524144;0.609507;1;-0.064752;0.250594;0.012412;-0.391455;0.012412;0.076318;0;Fri Jun 30 13:06:30 2023
0.003068;0.000000;0.003068;0.000000;0.172419;0.000000;61.500000;89.500000;251.500000;88.500000;0.005263;-0.538261;0.301554;1;-0.064783;0.278566;0.010294;-0.556468;0.010294;-0.212132;0;Fri Jun 30 13:06:30 2023
0.003068;0.000000;0.003068;0.000000;0.172450;0.000000;62.500000;90.500000;251.500000;88.500000;0.010582;0.532628;0.606282;1;-0.064813;0.200699;0.009168;0.119426;0.009168;-0.112750;0;Fri Jun 30 13:06:30 2023
0.003068;0.000000;0.003068;0.000000;0.172481;0.000000;62.500000;89.500000;251.500000;87.500000;0.010582;0.000000;0.606282;1;-0.064844;0.159297;0.009839;0.316089;0.009839;0.067227;0;Fri Jun 30 13:06:30 2023
0.003068;0.000000;0.003068;0.000000;0.172511;0.000000;61.500000;89.500000;251.500000;88.500000;0.005263;-0.532613;0.301554;1;-0.064875;0.183935;0.008929;-0.026506;0.008929;-0.091134;0;Fri Jun 30 13:06:30 2023
0.003068;0.000000;0.003068;0.000000;0.172542;0.000000;61.500000;90.500000;250.500000;88.500000;0.010582;0.532611;0.606282;1;-0.064905;0.150464;0.008451;-0.118611;0.008451;-0.047864;0;Fri Jun 30 13:06:30 2023
0.003068;0.000000;0.003068;0.000000;0.172573;0.000000;61.500000;89.500000;251.500000;88.500000;0.005263;-0.532615;0.301554;1;-0.064936;0.132870;0.008200;-0.334842;0.008200;-0.025138;0;Fri Jun 30 13:06:30 2023
0.003068;0.000000;0.003068;0.000000;0.172604;0.000000;61.500000;90.500000;250.500000;87.500000;0.015872;1.062393;0.909380;1;-0.064967;0.123616;0.009324;0.555018;0.009324;0.112565;0;Fri Jun 30 13:06:30 2023
0.003068;0.000000;0.003068;0.000000;0.172634;0.000000;62.500000;91.500000;251.500000;88.500000;0.015872;0.000000;0.909380;1;-0.064998;0.164888;0.012433;0.305354;0.012433;0.311330;0;Fri Jun 30 13:06:30 2023
0.003068;0.000000;0.003068;0.000000;0.172665;0.000000;61.500000;89.500000;250.500000;87.500000;0.010582;-0.529757;0.606282;1;-0.065028;0.279094;0.012810;-0.164748;0.012810;0.037742;0;Fri Jun 30 13:06:30 2023
0.003068;0.000000;0.003068;0.000000;0.172696;0.000000;61.500000;89.500000;251.500000;88.500000;0.005263;-0.532615;0.301554;1;-0.065059;0.292912;0.010489;-0.536964;0.010489;-0.232387;0;Fri Jun 30 13:06:30 2023
0.003068;0.000000;0.003068;0.000000;0.172726;0.000000;62.500000;89.500000;251.500000;88.500000;0.005291;0.002789;0.303149;1;-0.065090;0.207611;0.008014;-0.243691;0.008014;-0.247837;0;Fri Jun 30 13:06:30 2023
0.003068;0.000000;0.003068;0.000000;0.172757;0.000000;61.500000;90.500000;251.500000;88.500000;0.010526;0.524265;0.603091;1;-0.065120;0.116644;0.007964;0.362157;0.007964;-0.005042;0;Fri Jun 30 13:06:30 2023
0.003068;0.000000;0.003068;0.000000;0.172788;0.000000;60.500000;89.500000;251.500000;88.500000;0.005236;-0.529801;0.299975;1;-0.065151;0.114763;0.007925;0.124394;0.007925;-0.003965;0;Fri Jun 30 13:06:30 2023
0.003068;0.000000;0.003068;0.000000;0.172818;0.000000;61.500000;90.500000;251.500000;89.500000;0.005263;0.002760;0.301554;1;-0.065182;0.113278;0.006654;-0.128261;0.006654;-0.127205;0;Fri Jun 30 13:06:30 2023
0.003068;0.000000;0.003068;0.000000;0.172849;0.000000;61.500000;90.500000;250.500000;88.500000;0.010582;0.532633;0.606282;1;-0.065212;0.066573;0.007256;-0.116231;0.007256;0.060294;0;Fri Jun 30 13:06:30 2023
0.006136;0.306796;0.003068;0.000000;0.172880;0.000000;63.500000;89.500000;250.500000;88.500000;0.005348;-0.524171;0.306392;1;1.042156;1.083329;0.007593;-0.044540;0.007593;0.033673;0;Fri Jun 30 13:06:30 2023
0.003068;-0.306796;0.003068;0.000000;0.172910;0.000000;61.500000;89.500000;251.500000;88.500000;0.005263;-0.008456;0.301554;1;-1.059937;-0.893674;0.006507;0.205489;0.006507;-0.108760;0;Fri Jun 30 13:06:30 2023
0.003068;0.000000;-0.000000;-0.306796;0.172910;0.000000;61.500000;89.500000;250.500000;89.500000;0.000000;-0.527077;0.000000;1;0.437663;0.564020;0.004667;-0.326739;0.004667;-0.184256;0;Fri Jun 30 13:06:30 2023
0.003068;0.000000;-0.000000;0.000000;0.172910;0.000000;61.500000;89.500000;251.500000;88.500000;0.005263;0.527083;0.301554;1;-0.060175;-0.001427;0.003700;-0.093117;0.000000;-0.467359;0;Fri Jun 30 13:06:30 2023
0.000000;-0.306796;-0.000000;0.000000;0.172910;0.000000;61.500000;89.500000;251.500000;88.500000;0.005263;0.000000;0.301554;1;-1.167574;-1.167574;0.004442;0.107158;0.004442;0.444884;0;Fri Jun 30 13:06:30 2023
0.000000;0.000000;-0.000000;0.000000;0.172910;0.000000;62.500000;90.500000;251.500000;88.500000;0.010582;0.532628;0.606282;1;-0.172910;-0.009671;0.006095;0.487058;0.006095;0.165471;0;Fri Jun 30 13:06:30 2023
0.003068;0.306796;0.003068;0.306796;0.172941;0.000000;61.500000;89.500000;251.500000;88.500000;0.005263;-0.532625;0.301554;1;0.431521;0.542741;0.006962;-0.121754;0.006962;0.086905;0;Fri Jun 30 13:06:30 2023
0.006136;0.306796;0.003068;0.000000;0.172972;0.000000;61.500000;90.500000;251.500000;87.500000;0.015788;1.054051;0.904595;1;1.042064;1.072436;0.008654;0.131520;0.008654;0.169428;0;Fri Jun 30 13:06:30 2023
0.006136;0.000000;0.003068;0.000000;0.173002;0.000000;61.500000;90.500000;251.500000;88.500000;0.010526;-0.526984;0.603091;1;0.047369;0.139908;0.010792;-0.135027;0.010792;0.214101;0;Fri Jun 30 13:06:30 2023
0.003068;-0.306796;0.003068;0.000000;0.173033;0.000000;61.500000;89.500000;251.500000;88.500000;0.005263;-0.527038;0.301554;1;-1.060060;-0.776227;0.009416;0.002262;0.009416;-0.137779;0;Fri Jun 30 13:06:30 2023
0.003068;0.000000;0.003068;0.000000;0.173064;0.000000;62.500000;90.500000;251.500000;88.500000;0.010582;0.532599;0.606282;1;-0.065427;0.167851;0.008707;0.030139;0.008707;-0.071035;0;Fri Jun 30 13:06:30 2023
0.006136;0.306796;0.003068;0.000000;0.173094;0.000000;61.500000;90.500000;251.500000;88.500000;0.010526;-0.005577;0.603091;1;1.041941;1.136418;0.009584;-0.125095;0.009584;0.087808;0;Fri Jun 30 13:06:30 2023
0.006136;0.000000;0.003068;0.000000;0.173125;0.000000;62.500000;89.500000;251.500000;87.500000;0.010582;0.005577;0.606282;1;0.047247;0.173944;0.010044;0.158786;0.010044;0.046118;0;Fri Jun 30 13:06:30 2023
0.003068;-0.306796;0.003068;0.000000;0.173156;0.000000;61.500000;89.500000;251.500000;88.500000;0.005263;-0.532621;0.301554;1;-1.060183;-0.803828;0.009037;-0.075059;0.009037;-0.100899;0;Fri Jun 30 13:06:30 2023
0.003068;0.000000;0.003068;0.000000;0.173186;0.000000;63.500000;90.500000;250.500000;89.500000;0.005348;0.008455;0.306392;1;-0.065550;0.153782;0.007265;-0.204417;0.007265;-0.177425;0;Fri Jun 30 13:06:30 2023
0.003068;0.000000;0.003068;0.000000;0.173217;0.000000;61.500000;89.500000;251.500000;87.500000;0.010526;0.518585;0.603091;1;-0.065580;0.088648;0.007584;0.012651;0.007584;0.031934;0;Fri Jun 30 13:06:30 2023
0.006136;0.306796;0.006136;0.306796;0.173278;0.000000;62.500000;91.500000;251.500000;88.500000;0.015872;0.535341;0.909380;1;0.538821;0.592032;0.010250;0.433505;0.010250;0.266972;0;Fri Jun 30 13:06:30 2023
