Starting new run: Mon Jun 12 16:15:55 2023

alphaQube;alphaDotQube;thetaQube;thetaDotQube;z;thetaTarget;p1x;p1y;p2x;p2y;alphaCam;alphaDotCam;cameraAngle;Kx;KxCam;systemTime
0.003068;0.000000;-0.003068;-0.306796;0.022059;0.000000;38.500000;101.500000;231.500000;101.500000;0.000000;0.000000;0.000000;0.722990;0.578860;Mon Jun 12 16:16:12 2023
0.006136;0.306796;-0.000000;0.306796;0.022059;0.000000;38.500000;101.500000;230.500000;101.500000;0.000000;0.000000;0.000000;0.607728;-0.954104;Mon Jun 12 16:16:12 2023
0.003068;-0.306796;-0.000000;0.000000;0.022059;0.000000;37.500000;100.500000;231.500000;101.500000;-0.000090;-0.012784;-0.005155;-1.326742;-0.254593;Mon Jun 12 16:16:12 2023
0.003068;0.000000;-0.000000;0.000000;0.022059;0.000000;38.500000;101.500000;232.500000;100.500000;0.000090;0.025565;0.005155;-0.053169;-0.086946;Mon Jun 12 16:16:12 2023
0.006136;0.306796;-0.000000;0.000000;0.022059;0.000000;38.500000;100.500000;230.500000;101.500000;-0.000091;-0.025696;-0.005208;1.364533;-0.308240;Mon Jun 12 16:16:12 2023
0.009204;0.306796;0.003068;0.306796;0.022089;0.000000;38.500000;101.500000;231.500000;101.500000;0.000000;0.012914;0.000000;0.732229;-0.920126;Mon Jun 12 16:16:12 2023
0.006136;-0.306796;-0.000000;-0.306796;0.022089;0.000000;38.500000;101.500000;230.500000;101.500000;0.000000;0.000000;0.000000;-0.426081;0.559231;Mon Jun 12 16:16:12 2023
0.000000;-0.613592;-0.003068;-0.306796;0.022059;0.000000;37.500000;100.500000;231.500000;101.500000;-0.000090;-0.012778;-0.005155;-1.968284;0.521589;Mon Jun 12 16:16:12 2023
0.000000;0.000000;-0.003068;0.000000;0.022028;0.000000;38.500000;100.500000;231.500000;101.500000;-0.000090;-0.000066;-0.005181;-0.177670;-0.182193;Mon Jun 12 16:16:12 2023
0.006136;0.613592;-0.000000;0.306796;0.022028;0.000000;37.500000;100.500000;231.500000;101.500000;-0.000090;0.000066;-0.005155;1.881574;-0.957781;Mon Jun 12 16:16:12 2023
0.006136;0.000000;-0.000000;0.000000;0.022028;0.000000;38.500000;100.500000;230.500000;101.500000;-0.000091;-0.000133;-0.005208;0.091235;-0.201848;Mon Jun 12 16:16:12 2023
0.006136;0.000000;-0.000000;0.000000;0.022028;0.000000;37.500000;100.500000;231.500000;100.500000;0.000000;0.012907;0.000000;0.091235;-0.143447;Mon Jun 12 16:16:12 2023
0.003068;-0.306796;-0.003068;-0.306796;0.021997;0.000000;37.500000;101.500000;230.500000;100.500000;0.000090;0.012839;0.005181;-0.550033;0.636954;Mon Jun 12 16:16:12 2023
0.003068;0.000000;-0.003068;0.000000;0.021967;0.000000;37.500000;101.500000;230.500000;100.500000;0.000090;0.000000;0.005181;-0.032992;-0.172873;Mon Jun 12 16:16:12 2023
