Starting new run:  K= -1.000000, -1.661800, 36.745900, -1.622700, 3.242100 - Tue Jun 20 13:25:44 2023

alphaQube;alphaDotQube;thetaQube;thetaDotQube;z;thetaTarget;p1x;p1y;p2x;p2y;alphaCam;alphaDotCam;cameraAngle;twoDotCheck;Kx;KxCam;camControl;systemTime
0.006136;0.000000;0.009204;0.000000;0.062770;0.000000;42.500000;91.500000;233.500000;91.500000;0.000000;0.522696;0.000000;1;0.147405;-0.078066;0;Tue Jun 20 13:25:57 2023
0.003068;-0.306796;0.009204;0.000000;0.062863;0.000000;42.500000;90.500000;234.500000;91.500000;-0.005208;-0.522683;-0.298413;1;-0.960086;-1.264205;0;Tue Jun 20 13:25:57 2023
0.003068;0.000000;0.009204;0.000000;0.062955;0.000000;43.500000;90.500000;233.500000;91.500000;-0.005263;-0.005502;-0.301554;1;0.034485;-0.271647;0;Tue Jun 20 13:25:57 2023
0.003068;0.000000;0.009204;0.000000;0.063047;0.000000;42.500000;91.500000;233.500000;91.500000;0.000000;0.528195;0.000000;1;0.034393;-0.078342;0;Tue Jun 20 13:25:57 2023
0.006136;0.306796;0.009204;0.000000;0.063139;0.000000;42.500000;91.500000;234.500000;91.500000;0.000000;0.000000;0.000000;1;1.141700;0.916230;0;Tue Jun 20 13:25:57 2023
0.006136;0.000000;0.009204;0.000000;0.063231;0.000000;42.500000;91.500000;234.500000;91.500000;0.000000;0.000000;0.000000;1;0.146944;-0.078526;0;Tue Jun 20 13:25:57 2023
0.003068;-0.306796;0.009204;0.000000;0.063323;0.000000;42.500000;91.500000;233.500000;91.500000;0.000000;0.000000;0.000000;1;-0.960547;-1.073282;0;Tue Jun 20 13:25:57 2023
0.003068;0.000000;0.006136;-0.306796;0.063384;0.000000;43.500000;90.500000;234.500000;91.500000;-0.005236;-0.525403;-0.299975;1;0.536992;0.231872;0;Tue Jun 20 13:25:57 2023
0.003068;0.000000;0.009204;0.306796;0.063476;0.000000;43.500000;90.500000;234.500000;91.500000;-0.005236;0.000000;-0.299975;1;-0.463874;-0.768994;0;Tue Jun 20 13:25:57 2023
0.003068;0.000000;0.009204;0.000000;0.063568;0.000000;42.500000;90.500000;233.500000;91.500000;-0.005236;0.000000;-0.299975;1;0.033872;-0.271248;0;Tue Jun 20 13:25:57 2023
0.003068;0.000000;0.009204;0.000000;0.063660;0.000000;42.500000;91.500000;233.500000;91.500000;0.000000;0.525398;0.000000;1;0.033780;-0.078955;0;Tue Jun 20 13:25:57 2023
0.003068;0.000000;0.009204;0.000000;0.063752;0.000000;42.500000;91.500000;234.500000;91.500000;0.000000;0.000000;0.000000;1;0.033688;-0.079047;0;Tue Jun 20 13:25:57 2023
0.006136;0.306796;0.009204;0.000000;0.063844;0.000000;42.500000;91.500000;234.500000;91.500000;0.000000;0.000000;0.000000;1;1.140995;0.915525;0;Tue Jun 20 13:25:57 2023
0.003068;-0.306796;0.009204;0.000000;0.063936;0.000000;42.500000;91.500000;234.500000;91.500000;0.000000;0.000000;0.000000;1;-0.961160;-1.073895;0;Tue Jun 20 13:25:57 2023
0.003068;0.000000;0.009204;0.000000;0.064028;0.000000;42.500000;91.500000;233.500000;91.500000;0.000000;0.000000;0.000000;1;0.033412;-0.079323;0;Tue Jun 20 13:25:57 2023
0.003068;0.000000;0.009204;0.000000;0.064120;0.000000;42.500000;91.500000;233.500000;91.500000;0.000000;0.000000;0.000000;1;0.033320;-0.079415;0;Tue Jun 20 13:25:57 2023
0.003068;0.000000;0.009204;0.000000;0.064212;0.000000;42.500000;91.500000;234.500000;91.500000;0.000000;0.000000;0.000000;1;0.033228;-0.079507;0;Tue Jun 20 13:25:57 2023
0.003068;0.000000;0.012272;0.306796;0.064335;0.000000;42.500000;91.500000;233.500000;91.500000;0.000000;0.000000;0.000000;1;-0.469832;-0.582567;0;Tue Jun 20 13:25:57 2023
0.006136;0.306796;0.012272;0.000000;0.064458;0.000000;43.500000;90.500000;233.500000;91.500000;-0.005263;-0.528188;-0.301554;1;1.135283;0.716415;0;Tue Jun 20 13:25:57 2023
0.006136;0.000000;0.012272;0.000000;0.064581;0.000000;42.500000;91.500000;233.500000;91.500000;0.000000;0.528143;0.000000;1;0.140496;-0.084974;0;Tue Jun 20 13:25:57 2023
0.003068;-0.306796;0.012272;0.000000;0.064703;0.000000;42.500000;91.500000;233.500000;89.500000;0.010471;1.050805;0.599934;1;-0.967025;-0.695001;0;Tue Jun 20 13:25:57 2023
0.003068;0.000000;0.012272;0.000000;0.064826;0.000000;42.500000;91.500000;233.500000;91.500000;0.000000;-1.050718;0.000000;1;0.027516;-0.085219;0;Tue Jun 20 13:25:57 2023
0.006136;0.306796;0.012272;0.000000;0.064949;0.000000;42.500000;91.500000;234.500000;91.500000;0.000000;0.000000;0.000000;1;1.134792;0.909322;0;Tue Jun 20 13:25:57 2023
0.006136;0.000000;0.012272;0.000000;0.065071;0.000000;42.500000;91.500000;233.500000;92.500000;-0.005236;-0.525411;-0.299975;1;0.140005;-0.277850;0;Tue Jun 20 13:25:57 2023
0.003068;-0.306796;0.012272;0.000000;0.065194;0.000000;42.500000;91.500000;233.500000;91.500000;0.000000;0.525416;0.000000;1;-0.967516;-1.080251;0;Tue Jun 20 13:25:57 2023
0.003068;0.000000;0.012272;0.000000;0.065317;0.000000;42.500000;91.500000;233.500000;92.500000;-0.005236;-0.525410;-0.299975;1;0.027025;-0.278095;0;Tue Jun 20 13:25:57 2023
0.003068;0.000000;0.012272;0.000000;0.065440;0.000000;43.500000;91.500000;233.500000;92.500000;-0.005263;-0.002765;-0.301554;1;0.026902;-0.279231;0;Tue Jun 20 13:25:57 2023
0.006136;0.306796;0.015340;0.306796;0.065593;0.000000;43.500000;91.500000;235.500000;91.500000;0.000000;0.528178;0.000000;1;0.631211;0.405741;0;Tue Jun 20 13:25:57 2023
0.006136;0.000000;0.015340;0.000000;0.065746;0.000000;42.500000;92.500000;234.500000;93.500000;-0.005208;-0.522672;-0.298413;1;0.134232;-0.282621;0;Tue Jun 20 13:25:57 2023
0.006136;0.000000;0.015340;0.000000;0.065900;0.000000;42.500000;92.500000;234.500000;92.500000;0.000000;0.522658;0.000000;1;0.134079;-0.091392;0;Tue Jun 20 13:25:57 2023
0.006136;0.000000;0.015340;0.000000;0.066053;0.000000;43.500000;91.500000;234.500000;91.500000;0.000000;0.000000;0.000000;1;0.133925;-0.091545;0;Tue Jun 20 13:25:57 2023
0.006136;0.000000;0.015340;0.000000;0.066207;0.000000;42.500000;92.500000;233.500000;92.500000;0.000000;0.000000;0.000000;1;0.133772;-0.091698;0;Tue Jun 20 13:25:57 2023
0.006136;0.000000;0.015340;0.000000;0.066360;0.000000;42.500000;92.500000;232.500000;91.500000;0.005263;0.528155;0.301554;1;0.133618;0.101546;0;Tue Jun 20 13:25:57 2023
0.006136;0.000000;0.015340;0.000000;0.066513;0.000000;43.500000;90.500000;235.500000;91.500000;-0.005208;-1.050804;-0.298413;1;0.133465;-0.283388;0;Tue Jun 20 13:25:57 2023
0.006136;0.000000;0.015340;0.000000;0.066667;0.000000;42.500000;92.500000;234.500000;93.500000;-0.005208;0.000000;-0.298413;1;0.133312;-0.283542;0;Tue Jun 20 13:25:57 2023
0.006136;0.000000;0.015340;0.000000;0.066820;0.000000;42.500000;91.500000;234.500000;91.500000;0.000000;0.522656;0.000000;1;0.133158;-0.092312;0;Tue Jun 20 13:25:57 2023
0.006136;0.000000;0.015340;0.000000;0.066974;0.000000;42.500000;91.500000;234.500000;92.500000;-0.005208;-0.522666;-0.298413;1;0.133005;-0.283848;0;Tue Jun 20 13:25:57 2023
0.006136;0.000000;0.015340;0.000000;0.067127;0.000000;43.500000;91.500000;234.500000;91.500000;0.000000;0.522669;0.000000;1;0.132851;-0.092619;0;Tue Jun 20 13:25:57 2023
0.006136;0.000000;0.015340;0.000000;0.067280;0.000000;42.500000;92.500000;234.500000;91.500000;0.005208;0.522664;0.298413;1;0.132698;0.098611;0;Tue Jun 20 13:25:57 2023
0.006136;0.000000;0.015340;0.000000;0.067434;0.000000;43.500000;91.500000;234.500000;92.500000;-0.005236;-1.048053;-0.299975;1;0.132545;-0.285311;0;Tue Jun 20 13:25:57 2023
0.006136;0.000000;0.015340;0.000000;0.067587;0.000000;43.500000;91.500000;233.500000;91.500000;0.000000;0.525401;0.000000;1;0.132391;-0.093079;0;Tue Jun 20 13:25:57 2023
0.006136;0.000000;0.015340;0.000000;0.067741;0.000000;42.500000;91.500000;234.500000;91.500000;0.000000;0.000000;0.000000;1;0.132238;-0.093232;0;Tue Jun 20 13:25:57 2023
0.006136;0.000000;0.015340;0.000000;0.067894;0.000000;43.500000;91.500000;233.500000;92.500000;-0.005263;-0.528166;-0.301554;1;0.132084;-0.286783;0;Tue Jun 20 13:25:57 2023
0.009204;0.306796;0.015340;0.000000;0.068047;0.000000;43.500000;91.500000;235.500000;91.500000;0.000000;0.528167;0.000000;1;1.239330;0.901125;0;Tue Jun 20 13:25:57 2023
0.006136;-0.306796;0.015340;0.000000;0.068201;0.000000;43.500000;91.500000;233.500000;91.500000;0.000000;0.000000;0.000000;1;-0.862886;-1.088356;0;Tue Jun 20 13:25:57 2023
0.006136;0.000000;0.012272;-0.306796;0.068324;0.000000;43.500000;90.500000;234.500000;90.500000;0.000000;0.000000;0.000000;1;0.634591;0.409121;0;Tue Jun 20 13:25:57 2023
0.003068;-0.306796;0.012272;0.000000;0.068446;0.000000;42.500000;91.500000;234.500000;91.500000;0.000000;0.000000;0.000000;1;-0.970768;-1.083503;0;Tue Jun 20 13:25:57 2023
0.003068;0.000000;0.009204;-0.306796;0.068538;0.000000;42.500000;91.500000;234.500000;91.500000;0.000000;0.000000;0.000000;1;0.526740;0.414005;0;Tue Jun 20 13:25:57 2023
0.003068;0.000000;0.009204;0.000000;0.068630;0.000000;42.500000;91.500000;234.500000;91.500000;0.000000;0.000000;0.000000;1;0.028810;-0.083925;0;Tue Jun 20 13:25:57 2023
0.003068;0.000000;0.009204;0.000000;0.068722;0.000000;42.500000;91.500000;233.500000;91.500000;0.000000;0.000000;0.000000;1;0.028718;-0.084017;0;Tue Jun 20 13:25:57 2023
0.003068;0.000000;0.009204;0.000000;0.068814;0.000000;43.500000;90.500000;234.500000;91.500000;-0.005236;-0.525380;-0.299975;1;0.028626;-0.276495;0;Tue Jun 20 13:25:57 2023
0.003068;0.000000;0.009204;0.000000;0.068906;0.000000;43.500000;90.500000;233.500000;91.500000;-0.005263;-0.002765;-0.301554;1;0.028534;-0.277599;0;Tue Jun 20 13:25:57 2023
0.003068;0.000000;0.009204;0.000000;0.068998;0.000000;42.500000;91.500000;233.500000;91.500000;0.000000;0.528113;0.000000;1;0.028442;-0.084293;0;Tue Jun 20 13:25:57 2023
0.006136;0.306796;0.009204;0.000000;0.069090;0.000000;42.500000;91.500000;233.500000;91.500000;0.000000;0.000000;0.000000;1;1.135748;0.910278;0;Tue Jun 20 13:25:57 2023
0.006136;0.000000;0.009204;0.000000;0.069183;0.000000;43.500000;90.500000;233.500000;91.500000;-0.005263;-0.528156;-0.301554;1;0.140992;-0.277875;0;Tue Jun 20 13:25:57 2023
0.003068;-0.306796;0.006136;-0.306796;0.069244;0.000000;42.500000;91.500000;233.500000;91.500000;0.000000;0.528152;0.000000;1;-0.463531;-0.576266;0;Tue Jun 20 13:25:57 2023
0.000000;-0.306796;0.006136;0.000000;0.069305;0.000000;42.500000;90.500000;233.500000;91.500000;-0.005236;-0.525390;-0.299975;1;-1.074166;-1.266551;0;Tue Jun 20 13:25:57 2023
0.000000;0.000000;0.006136;0.000000;0.069367;0.000000;42.500000;90.500000;235.500000;91.500000;-0.005181;0.005444;-0.296867;1;-0.079563;-0.269955;0;Tue Jun 20 13:25:57 2023
0.003068;0.306796;0.006136;0.000000;0.069428;0.000000;42.500000;90.500000;233.500000;91.500000;-0.005236;-0.005444;-0.299975;1;1.027774;0.722654;0;Tue Jun 20 13:25:57 2023
0.003068;0.000000;0.006136;0.000000;0.069489;0.000000;43.500000;89.500000;233.500000;91.500000;-0.010526;-0.530863;-0.603091;1;0.033049;-0.466471;0;Tue Jun 20 13:25:57 2023
0.003068;0.000000;0.006136;0.000000;0.069551;0.000000;43.500000;90.500000;234.500000;90.500000;0.000000;1.056230;0.000000;1;0.032988;-0.079747;0;Tue Jun 20 13:25:57 2023
0.003068;0.000000;0.006136;0.000000;0.069612;0.000000;43.500000;90.500000;234.500000;91.500000;-0.005236;-0.525368;-0.299975;1;0.032926;-0.272194;0;Tue Jun 20 13:25:57 2023
0.003068;0.000000;0.006136;0.000000;0.069673;0.000000;43.500000;90.500000;234.500000;92.500000;-0.010471;-0.525321;-0.599934;1;0.032865;-0.464630;0;Tue Jun 20 13:25:57 2023
0.003068;0.000000;0.006136;0.000000;0.069735;0.000000;43.500000;89.500000;233.500000;91.500000;-0.010526;-0.005530;-0.603091;1;0.032804;-0.466716;0;Tue Jun 20 13:25:57 2023
0.003068;0.000000;0.006136;0.000000;0.069796;0.000000;43.500000;90.500000;233.500000;91.500000;-0.005263;0.528111;-0.301554;1;0.032742;-0.273390;0;Tue Jun 20 13:25:57 2023
0.003068;0.000000;0.006136;0.000000;0.069857;0.000000;43.500000;89.500000;235.500000;90.500000;-0.005208;0.005501;-0.298413;1;0.032681;-0.271437;0;Tue Jun 20 13:25:57 2023
0.006136;0.306796;0.006136;0.000000;0.069919;0.000000;42.500000;89.500000;234.500000;90.500000;-0.005208;0.000000;-0.298413;1;1.140018;0.723165;0;Tue Jun 20 13:25:57 2023
0.003068;-0.306796;0.006136;0.000000;0.069980;0.000000;42.500000;90.500000;233.500000;90.500000;0.000000;0.522627;0.000000;1;-0.962106;-1.074841;0;Tue Jun 20 13:25:57 2023
0.003068;0.000000;0.003068;-0.306796;0.070011;0.000000;42.500000;90.500000;235.500000;90.500000;0.000000;0.000000;0.000000;1;0.535464;0.422729;0;Tue Jun 20 13:25:57 2023
0.003068;0.000000;0.003068;0.000000;0.070042;0.000000;42.500000;89.500000;234.500000;90.500000;-0.005208;-0.522643;-0.298413;1;0.037595;-0.266523;0;Tue Jun 20 13:25:57 2023
0.000000;-0.306796;0.003068;0.000000;0.070072;0.000000;42.500000;90.500000;234.500000;91.500000;-0.005208;0.000000;-0.298413;1;-1.069834;-1.261218;0;Tue Jun 20 13:25:57 2023
0.000000;0.000000;0.003068;0.000000;0.070103;0.000000;43.500000;89.500000;234.500000;90.500000;-0.005236;-0.002736;-0.299975;1;-0.075201;-0.267586;0;Tue Jun 20 13:25:57 2023
0.003068;0.306796;0.006136;0.306796;0.070164;0.000000;43.500000;89.500000;235.500000;90.500000;-0.005208;0.002736;-0.298413;1;0.529200;0.225082;0;Tue Jun 20 13:25:57 2023
0.006136;0.306796;0.006136;0.000000;0.070226;0.000000;43.500000;89.500000;235.500000;90.500000;-0.005208;0.000000;-0.298413;1;1.139712;0.722858;0;Tue Jun 20 13:25:57 2023
0.006136;0.000000;0.006136;0.000000;0.070287;0.000000;42.500000;89.500000;233.500000;90.500000;-0.005236;-0.002736;-0.299975;1;0.144986;-0.272869;0;Tue Jun 20 13:25:57 2023
0.003068;-0.306796;0.003068;-0.306796;0.070318;0.000000;42.500000;90.500000;234.500000;91.500000;-0.005208;0.002736;-0.298413;1;-0.459507;-0.763625;0;Tue Jun 20 13:25:57 2023
0.000000;-0.306796;0.003068;0.000000;0.070348;0.000000;43.500000;89.500000;233.500000;90.500000;-0.005263;-0.005501;-0.301554;1;-1.070111;-1.263508;0;Tue Jun 20 13:25:57 2023
0.000000;0.000000;0.003068;0.000000;0.070379;0.000000;42.500000;89.500000;233.500000;91.500000;-0.010471;-0.522506;-0.599934;1;-0.075477;-0.460237;0;Tue Jun 20 13:25:57 2023
0.003068;0.306796;0.006136;0.306796;0.070440;0.000000;42.500000;89.500000;234.500000;91.500000;-0.010416;0.005471;-0.596809;1;0.528924;0.033433;0;Tue Jun 20 13:25:58 2023
0.006136;0.306796;0.006136;0.000000;0.070502;0.000000;42.500000;89.500000;234.500000;90.500000;-0.005208;0.522568;-0.298413;1;1.139435;0.722582;0;Tue Jun 20 13:25:58 2023
0.006136;0.000000;0.006136;0.000000;0.070563;0.000000;43.500000;90.500000;233.500000;90.500000;0.000000;0.522607;0.000000;1;0.144710;-0.080760;0;Tue Jun 20 13:25:58 2023
0.003068;-0.306796;0.003068;-0.306796;0.070594;0.000000;42.500000;90.500000;234.500000;88.500000;0.010416;1.045221;0.596809;1;-0.459783;-0.189762;0;Tue Jun 20 13:25:58 2023
0.000000;-0.306796;0.003068;0.000000;0.070624;0.000000;42.500000;90.500000;234.500000;90.500000;0.000000;-1.045205;0.000000;1;-1.070387;-1.070387;0;Tue Jun 20 13:25:58 2023
0.000000;0.000000;0.003068;0.000000;0.070655;0.000000;42.500000;90.500000;234.500000;90.500000;0.000000;0.000000;0.000000;1;-0.075753;-0.075753;0;Tue Jun 20 13:25:58 2023
0.003068;0.306796;0.006136;0.306796;0.070717;0.000000;42.500000;89.500000;233.500000;89.500000;0.000000;0.000000;0.000000;1;0.528648;0.415913;0;Tue Jun 20 13:25:58 2023
0.006136;0.306796;0.006136;0.000000;0.070778;0.000000;42.500000;90.500000;234.500000;90.500000;0.000000;0.000000;0.000000;1;1.139159;0.913689;0;Tue Jun 20 13:25:58 2023
0.006136;0.000000;0.006136;0.000000;0.070839;0.000000;42.500000;90.500000;234.500000;90.500000;0.000000;0.000000;0.000000;1;0.144434;-0.081036;0;Tue Jun 20 13:25:58 2023
0.003068;-0.306796;0.003068;-0.306796;0.070870;0.000000;43.500000;90.500000;234.500000;90.500000;0.000000;0.000000;0.000000;1;-0.460059;-0.572794;0;Tue Jun 20 13:25:58 2023
0.000000;-0.306796;0.003068;0.000000;0.070901;0.000000;42.500000;90.500000;232.500000;90.500000;0.000000;0.000000;0.000000;1;-1.070663;-1.070663;0;Tue Jun 20 13:25:58 2023
0.000000;0.000000;0.003068;0.000000;0.070931;0.000000;42.500000;89.500000;233.500000;90.500000;-0.005236;-0.525344;-0.299975;1;-0.076030;-0.268415;0;Tue Jun 20 13:25:58 2023
0.003068;0.306796;0.006136;0.306796;0.070993;0.000000;42.500000;90.500000;234.500000;90.500000;0.000000;0.525351;0.000000;1;0.528371;0.415636;0;Tue Jun 20 13:25:58 2023
0.006136;0.306796;0.006136;0.000000;0.071054;0.000000;42.500000;90.500000;233.500000;90.500000;0.000000;0.000000;0.000000;1;1.138883;0.913413;0;Tue Jun 20 13:25:58 2023
0.006136;0.000000;0.006136;0.000000;0.071115;0.000000;42.500000;90.500000;234.500000;90.500000;0.000000;0.000000;0.000000;1;0.144158;-0.081312;0;Tue Jun 20 13:25:58 2023
0.003068;-0.306796;0.003068;-0.306796;0.071146;0.000000;42.500000;89.500000;234.500000;90.500000;-0.005208;-0.522624;-0.298413;1;-0.460335;-0.764453;0;Tue Jun 20 13:25:58 2023
0.000000;-0.306796;0.003068;0.000000;0.071177;0.000000;43.500000;89.500000;234.500000;90.500000;-0.005236;-0.002736;-0.299975;1;-1.070939;-1.263324;0;Tue Jun 20 13:25:58 2023
0.003068;0.306796;0.003068;0.000000;0.071207;0.000000;42.500000;90.500000;234.500000;90.500000;0.000000;0.525366;0.000000;1;1.031093;0.918358;0;Tue Jun 20 13:25:58 2023
