Starting new run:  K= -1.000000, -1.651000, 35.057500, -1.604900, 2.943400 - Fri Jun 30 14:21:13 2023

alphaQube;alphaDotQube;thetaQube;thetaDotQube;z;thetaTarget;p1x;p1y;p2x;p2y;alphaCam;alphaDotCam;cameraAngle;twoDotCheck;Kx;KxCam;alphaFiltered;alphaDotFiltered;alphaFilteredGated;alphaDotFilteredGated;camControl;systemTime
0.006136;0.000000;0.015340;0.000000;0.190060;0.000000;63.500000;93.500000;251.500000;92.500000;0.005319;0.000000;0.304762;1;-0.000276;-0.072522;0.004666;0.037349;0.004666;0.000000;0;Fri Jun 30 14:21:27 2023
0.006136;0.000000;0.015340;0.000000;0.190214;0.000000;62.500000;92.500000;251.500000;92.500000;0.000000;-0.532247;0.000000;1;-0.000430;-0.051970;0.003713;-0.286890;0.000000;-0.466872;0;Fri Jun 30 14:21:27 2023
0.006136;0.000000;0.015340;0.000000;0.190367;0.000000;63.500000;93.500000;251.500000;91.500000;0.010638;1.064490;0.609507;1;-0.000583;-0.215693;0.004476;0.242808;0.004476;0.447856;0;Fri Jun 30 14:21:27 2023
0.006136;0.000000;0.015340;0.000000;0.190520;0.000000;61.500000;94.500000;251.500000;92.500000;0.010526;-0.011204;0.603091;1;-0.000736;-0.058943;0.007375;0.200818;0.007375;0.290117;0;Fri Jun 30 14:21:27 2023
0.009204;0.306796;0.015340;0.000000;0.190674;0.000000;63.500000;93.500000;251.500000;92.500000;0.005319;-0.521032;0.304762;1;1.009689;0.945569;0.007635;0.059200;0.007635;0.000000;0;Fri Jun 30 14:21:27 2023
0.006136;-0.306796;0.015340;0.000000;0.190827;0.000000;63.500000;93.500000;251.500000;92.500000;0.005319;0.000000;0.304762;1;-0.904067;-0.851517;0.006535;-0.213326;0.006535;0.000000;0;Fri Jun 30 14:21:27 2023
0.006136;0.000000;0.015340;0.000000;0.190981;0.000000;63.500000;93.500000;251.500000;92.500000;0.005319;0.000000;0.304762;1;-0.001197;0.012807;0.005958;-0.283813;0.005958;0.000000;0;Fri Jun 30 14:21:27 2023
0.006136;0.000000;0.012272;-0.306796;0.191103;0.000000;63.500000;93.500000;250.500000;90.500000;0.016041;1.072997;0.919105;1;0.496123;0.489881;0.008200;0.507527;0.008200;0.000000;0;Fri Jun 30 14:21:27 2023
0.006136;0.000000;0.012272;0.000000;0.191226;0.000000;62.500000;94.500000;251.500000;92.500000;0.010582;-0.546368;0.606282;1;0.003623;0.075987;0.010627;0.253099;0.010627;0.000000;0;Fri Jun 30 14:21:27 2023
0.003068;-0.306796;0.012272;0.000000;0.191349;0.000000;62.500000;92.500000;251.500000;93.500000;-0.005291;-1.588369;-0.303149;1;-1.007078;-0.742078;0.006837;-0.598448;0.006837;-0.379234;0;Fri Jun 30 14:21:27 2023
