Starting new run: Thu Jun  8 13:18:23 2023

cameraAngle;alphaCam;alphaDotCam;alphaQube;alphaDotQube;Kx;KxCam;systemTime
-0.011904;-0.000208;-0.044077;0.003068;-0.306796;-1.332376;-0.395667;Thu Jun  8 13:18:43 2023
0.005952;0.000104;0.044077;0.000000;-0.306796;-0.700346;0.761078;Thu Jun  8 13:18:43 2023
0.006024;0.000105;0.000177;0.003068;0.306796;1.234123;-0.177905;Thu Jun  8 13:18:43 2023
0.011975;0.000209;0.014690;0.003068;0.000000;-0.039449;-0.112779;Thu Jun  8 13:18:43 2023
0.011975;0.000209;0.000000;0.003068;0.000000;-0.039449;-0.173760;Thu Jun  8 13:18:43 2023
0.000000;0.000000;-0.029558;0.003068;0.000000;-0.039449;-0.306281;Thu Jun  8 13:18:43 2023
0.000000;0.000000;0.000000;0.003068;0.000000;0.736985;0.592855;Thu Jun  8 13:18:43 2023
0.012048;0.000210;0.029736;0.000000;-0.306796;-1.437248;-0.030358;Thu Jun  8 13:18:43 2023
0.017962;0.000313;0.014599;0.000000;0.000000;0.613033;0.688362;Thu Jun  8 13:18:43 2023
0.000000;0.000000;-0.044335;0.000000;0.000000;-0.143223;-0.327268;Thu Jun  8 13:18:43 2023
0.018070;0.000315;0.044602;0.000000;0.000000;-0.142674;0.057292;Thu Jun  8 13:18:43 2023
0.005952;0.000104;-0.029911;0.000000;0.000000;-0.142126;-0.261410;Thu Jun  8 13:18:43 2023
0.023948;0.000418;0.044417;0.000000;0.000000;-0.141577;0.062442;Thu Jun  8 13:18:43 2023
0.011975;0.000209;-0.029550;0.000000;0.000000;-0.141028;-0.253876;Thu Jun  8 13:18:43 2023
0.000000;0.000000;-0.029558;0.000000;0.000000;-0.140479;-0.263181;Thu Jun  8 13:18:43 2023
0.018070;0.000315;0.044603;0.000000;0.000000;-0.139930;0.060041;Thu Jun  8 13:18:43 2023
0.005988;0.000105;-0.029824;0.003068;0.306796;1.278320;-0.258277;Thu Jun  8 13:18:43 2023
-0.005917;-0.000103;-0.029387;0.000000;-0.306796;-1.412405;-0.265674;Thu Jun  8 13:18:43 2023
0.011975;0.000209;0.044170;0.000000;0.000000;0.638150;0.831326;Thu Jun  8 13:18:43 2023
0.011975;0.000209;0.000000;0.000000;0.000000;-0.117832;-0.108013;Thu Jun  8 13:18:43 2023
0.005988;0.000105;-0.014781;-0.003068;-0.306796;-1.534710;-0.173458;Thu Jun  8 13:18:43 2023
0.017962;0.000313;0.029561;0.000000;0.306796;1.157387;0.021255;Thu Jun  8 13:18:43 2023
0.012048;0.000210;-0.014601;0.000000;0.000000;-0.891796;-0.942531;Thu Jun  8 13:18:43 2023
0.006024;0.000105;-0.014871;0.000000;0.000000;-0.134442;-0.191234;Thu Jun  8 13:18:43 2023
0.005952;0.000104;-0.000177;0.003068;0.306796;0.507375;-0.906181;Thu Jun  8 13:18:43 2023
0.006024;0.000105;0.000177;0.006136;0.306796;1.408584;-0.147574;Thu Jun  8 13:18:43 2023
0.000000;0.000000;-0.014872;0.003068;-0.306796;-1.282416;-0.214711;Thu Jun  8 13:18:43 2023
0.011975;0.000209;0.029565;0.003068;0.000000;-0.008569;-0.020148;Thu Jun  8 13:18:43 2023
0.000000;0.000000;-0.029566;0.003068;0.000000;-0.008295;-0.275159;Thu Jun  8 13:18:43 2023
0.012048;0.000210;0.029744;0.003068;0.000000;-0.008020;-0.018798;Thu Jun  8 13:18:43 2023
0.012048;0.000210;0.000000;0.003068;0.000000;-0.007746;-0.141998;Thu Jun  8 13:18:43 2023
0.005988;0.000105;-0.014961;0.006136;0.306796;0.633797;-0.985230;Thu Jun  8 13:18:43 2023
0.012048;0.000210;0.014961;0.006136;0.000000;0.117029;-0.099246;Thu Jun  8 13:18:43 2023
0.012048;0.000210;0.000000;0.003068;-0.306796;-0.524239;0.615082;Thu Jun  8 13:18:43 2023
0.000000;0.000000;-0.029746;0.003068;0.000000;-0.007197;-0.274808;Thu Jun  8 13:18:43 2023
-0.005988;-0.000105;-0.014784;0.003068;0.000000;-0.006923;-0.217335;Thu Jun  8 13:18:43 2023
0.005988;0.000105;0.029569;0.003068;0.000000;-0.006648;-0.023124;Thu Jun  8 13:18:43 2023
0.011975;0.000209;0.014783;0.003068;0.000000;-0.006374;-0.079318;Thu Jun  8 13:18:43 2023
0.011975;0.000209;0.000000;0.006136;0.306796;1.411602;-0.140410;Thu Jun  8 13:18:43 2023
0.012048;0.000210;0.000178;0.003068;-0.306796;-1.279397;-0.139337;Thu Jun  8 13:18:43 2023
-0.005988;-0.000105;-0.044528;0.000000;-0.306796;-0.646819;0.437000;Thu Jun  8 13:18:43 2023
-0.005988;-0.000105;0.000000;0.003068;0.306796;0.511765;-0.910846;Thu Jun  8 13:18:43 2023
0.011975;0.000209;0.044351;0.003068;0.000000;-0.004728;0.045072;Thu Jun  8 13:18:43 2023
0.018180;0.000317;0.015318;0.003068;0.000000;-0.004453;-0.070088;Thu Jun  8 13:18:43 2023
0.000000;0.000000;-0.044885;0.003068;0.000000;-0.004179;-0.334636;Thu Jun  8 13:18:43 2023
0.005952;0.000104;0.014696;0.003068;0.000000;-0.780338;-0.858583;Thu Jun  8 13:18:43 2023
-0.011904;-0.000208;-0.044086;0.006136;0.306796;1.394169;-0.360432;Thu Jun  8 13:18:43 2023
0.017962;0.000313;0.073735;0.006136;0.000000;0.120596;0.153155;Thu Jun  8 13:18:43 2023
0.011904;0.000208;-0.014956;0.006136;0.000000;0.120596;-0.219989;Thu Jun  8 13:18:43 2023
0.036348;0.000634;0.060347;0.003068;-0.306796;-0.520672;0.889086;Thu Jun  8 13:18:43 2023
0.017962;0.000313;-0.045391;0.003068;0.000000;-0.003630;-0.321459;Thu Jun  8 13:18:43 2023
-0.024092;-0.000420;-0.103822;0.003068;0.000000;-0.003356;-0.598227;Thu Jun  8 13:18:43 2023
0.000000;0.000000;0.059478;0.003068;0.000000;-0.003081;0.099692;Thu Jun  8 13:18:43 2023
0.011975;0.000209;0.029565;0.003068;0.000000;-0.002807;-0.014385;Thu Jun  8 13:18:43 2023
0.030111;0.000526;0.044774;0.003068;0.000000;-0.002532;0.063894;Thu Jun  8 13:18:43 2023
0.000000;0.000000;-0.074342;0.003068;0.000000;-0.002258;-0.454997;Thu Jun  8 13:18:44 2023
0.006024;0.000105;0.014873;0.003068;0.000000;-0.001984;-0.079434;Thu Jun  8 13:18:44 2023
0.018070;0.000315;0.029743;0.006136;0.306796;1.415993;-0.007554;Thu Jun  8 13:18:44 2023
0.017962;0.000313;-0.000267;0.003068;-0.306796;-1.275007;-0.131945;Thu Jun  8 13:18:44 2023
0.012048;0.000210;-0.014605;0.000000;-0.306796;-0.642429;0.580396;Thu Jun  8 13:18:44 2023
0.018070;0.000315;0.014872;0.003068;0.306796;1.292590;-0.048559;Thu Jun  8 13:18:44 2023
0.006061;0.000106;-0.029657;0.003068;0.000000;0.019566;-0.242705;Thu Jun  8 13:18:44 2023
0.018070;0.000315;0.029657;0.000000;-0.306796;-1.397587;0.013915;Thu Jun  8 13:18:44 2023
0.011975;0.000209;-0.015051;0.000000;0.000000;-0.123466;-0.176127;Thu Jun  8 13:18:44 2023
0.023948;0.000418;0.029565;0.003068;0.306796;1.294785;0.019448;Thu Jun  8 13:18:44 2023
0.011975;0.000209;-0.029565;0.003068;0.000000;-0.754672;-1.011713;Thu Jun  8 13:18:44 2023
0.017962;0.000313;0.014784;0.003068;0.000000;0.778841;0.710811;Thu Jun  8 13:18:44 2023
0.000000;0.000000;-0.044359;0.003068;0.000000;0.022585;-0.305687;Thu Jun  8 13:18:44 2023
0.000000;0.000000;0.000000;0.003068;0.000000;0.023134;-0.120996;Thu Jun  8 13:18:44 2023
0.005952;0.000104;0.014701;0.000000;-0.306796;-1.394020;-0.054541;Thu Jun  8 13:18:44 2023
0.000000;0.000000;-0.014701;0.000000;0.000000;-0.119899;-0.180924;Thu Jun  8 13:18:44 2023
-0.011975;-0.000209;-0.029576;0.003068;0.306796;0.521919;-1.028380;Thu Jun  8 13:18:44 2023
0.011904;0.000208;0.058977;0.006136;0.306796;1.423127;0.115880;Thu Jun  8 13:18:44 2023
-0.030111;-0.000526;-0.103768;0.006136;0.000000;0.149830;-0.593882;Thu Jun  8 13:18:44 2023
0.005952;0.000104;0.089068;0.003068;-0.306796;-0.491164;1.012898;Thu Jun  8 13:18:44 2023
0.018180;0.000317;0.030199;0.000000;-0.306796;-1.391550;0.022290;Thu Jun  8 13:18:44 2023
-0.052583;-0.000918;-0.174763;0.000000;0.000000;-0.117429;-0.886022;Thu Jun  8 13:18:44 2023
0.000000;0.000000;0.129866;0.003068;0.306796;0.524388;-0.354214;Thu Jun  8 13:18:44 2023
0.005952;0.000104;0.014700;0.006136;0.306796;1.425597;-0.070330;Thu Jun  8 13:18:44 2023
0.011975;0.000209;0.014875;0.006136;0.000000;0.152299;-0.064391;Thu Jun  8 13:18:44 2023
0.005952;0.000104;-0.014875;0.003068;-0.306796;-0.488695;0.583879;Thu Jun  8 13:18:44 2023
0.006024;0.000105;0.000177;0.000000;-0.306796;-1.389080;-0.109834;Thu Jun  8 13:18:44 2023
0.005988;0.000105;-0.000089;0.000000;0.000000;-0.114959;-0.110419;Thu Jun  8 13:18:44 2023
0.011975;0.000209;0.014787;0.003068;0.306796;0.526858;-0.819641;Thu Jun  8 13:18:44 2023
0.006024;0.000105;-0.014699;0.006136;0.306796;1.428067;-0.189844;Thu Jun  8 13:18:44 2023
-0.024092;-0.000420;-0.074382;0.006136;0.000000;0.154769;-0.462018;Thu Jun  8 13:18:44 2023
0.011975;0.000209;0.089081;0.003068;-0.306796;-0.486225;1.022828;Thu Jun  8 13:18:44 2023
0.023948;0.000418;0.029569;0.000000;-0.306796;-1.386611;0.029343;Thu Jun  8 13:18:44 2023
0.011975;0.000209;-0.029568;0.000000;0.000000;-0.112490;-0.225414;Thu Jun  8 13:18:44 2023
0.011975;0.000209;0.000000;0.003068;0.306796;0.529328;-0.878555;Thu Jun  8 13:18:44 2023
0.000000;0.000000;-0.029576;0.006136;0.306796;1.430536;-0.254070;Thu Jun  8 13:18:44 2023
0.017962;0.000313;0.044361;0.003068;-0.306796;-1.260463;0.067860;Thu Jun  8 13:18:44 2023
0.011904;0.000208;-0.014961;0.003068;0.000000;0.013383;-0.183092;Thu Jun  8 13:18:44 2023
-0.005988;-0.000105;-0.044188;0.003068;0.000000;0.013658;-0.318814;Thu Jun  8 13:18:44 2023
-0.005988;-0.000105;0.000000;0.003068;0.000000;0.013932;-0.135107;Thu Jun  8 13:18:44 2023
0.000000;0.000000;0.014788;0.003068;0.000000;0.014207;-0.068534;Thu Jun  8 13:18:44 2023
0.024238;0.000423;0.059858;0.006136;0.306796;1.432183;0.138705;Thu Jun  8 13:18:44 2023
0.005988;0.000105;-0.045070;0.003068;-0.306796;-1.258817;-0.311559;Thu Jun  8 13:18:44 2023
0.005952;0.000104;-0.000088;0.003068;0.000000;0.015030;-0.124585;Thu Jun  8 13:18:44 2023
0.000000;0.000000;-0.014700;0.003068;0.000000;0.015304;-0.189849;Thu Jun  8 13:18:44 2023
0.000000;0.000000;0.000000;0.003068;0.000000;0.015579;-0.128551;Thu Jun  8 13:18:44 2023
-0.006024;-0.000105;-0.014878;0.003068;0.000000;0.015853;-0.194977;Thu Jun  8 13:18:44 2023
0.005917;0.000103;0.029492;0.003068;0.000000;0.016127;-0.000725;Thu Jun  8 13:18:44 2023
0.030294;0.000529;0.060205;0.003068;0.000000;0.016402;0.147035;Thu Jun  8 13:18:44 2023
0.011975;0.000209;-0.045242;0.003068;0.000000;0.016676;-0.305445;Thu Jun  8 13:18:44 2023
0.012048;0.000210;0.000178;0.003068;0.000000;0.016951;-0.116561;Thu Jun  8 13:18:44 2023
0.000000;0.000000;-0.029756;0.003068;0.000000;0.017225;-0.250428;Thu Jun  8 13:18:44 2023
0.005952;0.000104;0.014701;0.003068;0.000000;0.017499;-0.060721;Thu Jun  8 13:18:44 2023
0.017855;0.000312;0.029399;0.003068;0.000000;0.017774;0.010325;Thu Jun  8 13:18:44 2023
0.000000;0.000000;-0.044100;0.000000;-0.306796;-1.399654;-0.309148;Thu Jun  8 13:18:44 2023
0.036348;0.000634;0.089773;0.003068;0.306796;1.291895;0.276661;Thu Jun  8 13:18:44 2023
0.005952;0.000104;-0.075072;0.006136;0.306796;0.659865;-1.208726;Thu Jun  8 13:18:44 2023
0.011834;0.000207;0.014526;0.006136;0.000000;0.143098;-0.075157;Thu Jun  8 13:18:44 2023
0.005952;0.000104;-0.014526;0.003068;-0.306796;-0.498170;0.575852;Thu Jun  8 13:18:44 2023
0.000000;0.000000;-0.014701;0.003068;0.000000;0.018871;-0.186286;Thu Jun  8 13:18:44 2023
0.000000;0.000000;0.000000;0.003068;0.000000;0.019146;-0.124984;Thu Jun  8 13:18:44 2023
0.012048;0.000210;0.029755;0.003068;0.000000;0.019420;0.008689;Thu Jun  8 13:18:44 2023
0.000000;0.000000;-0.029755;0.003068;0.000000;0.019695;-0.247953;Thu Jun  8 13:18:44 2023
-0.005917;-0.000103;-0.014614;0.003068;0.000000;0.019969;-0.189680;Thu Jun  8 13:18:44 2023
0.011975;0.000209;0.044193;0.003068;0.000000;0.020243;0.069386;Thu Jun  8 13:18:44 2023
0.000000;0.000000;-0.029579;0.000000;-0.306796;-1.397184;-0.246399;Thu Jun  8 13:18:44 2023
0.005952;0.000104;0.014702;0.003068;0.306796;0.517931;-0.833859;Thu Jun  8 13:18:44 2023
0.000000;0.000000;-0.014702;0.006136;0.306796;0.642432;-0.980432;Thu Jun  8 13:18:44 2023
0.000000;0.000000;0.000000;0.006136;0.000000;0.125390;-0.162870;Thu Jun  8 13:18:44 2023
