Starting new run:  K= -1.000000, -1.661800, 36.745900, -1.622700, 3.242100 - Mon Jun 26 13:22:21 2023

alphaQube;alphaDotQube;thetaQube;thetaDotQube;z;thetaTarget;p1x;p1y;p2x;p2y;alphaCam;alphaDotCam;cameraAngle;twoDotCheck;Kx;KxCam;alphaDotCamLP;alphaDotCamButterworth;camControl;y0;y1;y2;x0;x1;x2;x3;systemTime
0.003068;0.000000;0.003068;0.000000;0.126973;0.000000;47.500000;101.500000;233.500000;103.500000;-0.010752;-0.811810;-0.616060;1;-0.019336;-0.183715;-0.192175;0.001693;0;0.001693;0.044680;0.029427;-0.811810;0.004318;-0.004318;-0.803168;Mon Jun 26 13:22:32 2023
0.003068;0.000000;0.003068;0.000000;0.126973;0.000000;48.500000;101.500000;234.500000;102.500000;-0.005376;0.807488;-0.308039;1;-0.019336;-0.183715;0.007758;-0.070997;0;-0.070997;0.001693;0.044680;0.807488;-0.811810;0.004318;-0.004318;Mon Jun 26 13:22:32 2023
0.003068;0.000000;0.003068;0.000000;0.127014;0.000000;48.500000;101.500000;234.500000;102.500000;-0.005376;0.000000;-0.308039;1;-0.019377;-0.559849;0.006206;-0.114690;0;-0.114690;-0.070997;0.001693;0.000000;0.807488;-0.811810;0.004318;Mon Jun 26 13:22:32 2023
0.003068;0.000000;0.003068;0.000000;0.127014;0.000000;46.500000;101.500000;235.500000;102.500000;-0.005291;0.012818;-0.303149;1;-0.019377;-0.559849;0.007529;-0.088015;0;-0.088015;-0.114690;-0.070997;0.012818;0.000000;0.807488;-0.811810;Mon Jun 26 13:22:32 2023
0.003068;0.000000;0.003068;0.000000;0.127055;0.000000;48.500000;101.500000;234.500000;101.500000;0.000000;0.794710;0.000000;1;-0.019418;-0.611927;0.164965;-0.009289;0;-0.009289;-0.088015;-0.114690;0.794710;0.012818;0.000000;0.807488;Mon Jun 26 13:22:32 2023
0.003068;0.000000;0.003068;0.000000;0.127055;0.000000;47.500000;101.500000;233.500000;103.500000;-0.010752;-1.615032;-0.616060;1;-0.019418;-0.611927;-0.191034;0.070486;0;0.070486;-0.009289;-0.088015;-1.615032;0.794710;0.012818;0.000000;Mon Jun 26 13:22:32 2023
0.003068;0.000000;0.003068;0.000000;0.127095;0.000000;47.500000;101.500000;234.500000;101.500000;0.000000;1.614981;0.000000;1;-0.019459;-0.298772;0.170169;0.095486;0;0.095486;0.070486;-0.009289;1.614981;-1.615032;0.794710;0.012818;Mon Jun 26 13:22:32 2023
0.003068;0.000000;0.003068;0.000000;0.127095;0.000000;47.500000;101.500000;234.500000;103.500000;-0.010695;-1.606319;-0.612766;1;-0.019459;-0.298772;-0.185129;0.067401;0;0.067401;0.095486;0.070486;-1.606319;1.614981;-1.615032;0.794710;Mon Jun 26 13:22:32 2023
0.000000;-0.230097;0.003068;0.000000;0.127136;0.000000;48.500000;101.500000;234.500000;102.500000;-0.005376;0.798803;-0.308039;1;-0.878233;-0.306702;0.011657;0.010975;0;0.010975;0.067401;0.095486;0.798803;-1.606319;1.614981;-1.615032;Mon Jun 26 13:22:32 2023
0.000000;-0.230097;0.003068;0.000000;0.127136;0.000000;48.500000;102.500000;234.500000;103.500000;-0.005376;0.000000;-0.308039;1;-0.878233;-0.306702;0.009326;-0.048476;0;-0.048476;0.010975;0.067401;0.000000;0.798803;-1.606319;1.614981;Mon Jun 26 13:22:32 2023
0.003068;0.230097;0.006136;0.230097;0.127218;0.000000;47.500000;101.500000;233.500000;102.500000;-0.005376;0.000000;-0.308039;1;0.347939;-0.865515;0.007461;-0.065255;0;-0.065255;-0.048476;0.010975;0.000000;0.000000;0.798803;-1.606319;Mon Jun 26 13:22:32 2023
0.003068;0.230097;0.006136;0.230097;0.127218;0.000000;47.500000;101.500000;234.500000;103.500000;-0.010695;-0.798810;-0.612766;1;0.347939;-0.865515;-0.153793;-0.054454;0;-0.054454;-0.065255;-0.048476;-0.798810;0.000000;0.000000;0.798803;Mon Jun 26 13:22:32 2023
0.006136;0.230097;0.009204;0.230097;0.127341;0.000000;48.500000;101.500000;235.500000;101.500000;0.000000;1.606314;0.000000;1;0.455453;-1.085550;0.198228;-0.046432;0;-0.046432;-0.054454;-0.065255;1.606314;-0.798810;0.000000;0.000000;Mon Jun 26 13:22:32 2023
0.006136;0.230097;0.009204;0.230097;0.127341;0.000000;47.500000;101.500000;234.500000;102.500000;-0.005348;-0.803203;-0.306392;1;0.455453;-1.085550;-0.002058;-0.006144;0;-0.006144;-0.046432;-0.054454;-0.803203;1.606314;-0.798810;0.000000;Mon Jun 26 13:22:32 2023
