Starting new run:  K= -1.000000, -1.661800, 36.745900, -1.622700, 3.242100 - Fri Jun 30 11:58:04 2023

alphaQube;alphaDotQube;thetaQube;thetaDotQube;z;thetaTarget;p1x;p1y;p2x;p2y;alphaCam;alphaDotCam;cameraAngle;twoDotCheck;Kx;KxCam;alphaFiltered;alphaDotFiltered;camControl;systemTime
0.009204;0.230097;-0.015340;0.230097;0.201381;0.000000;62.500000;83.500000;251.500000;82.500000;0.005291;0.793021;0.303149;1;0.534935;0.305500;0.002704;0.034766;0;Fri Jun 30 11:58:15 2023
0.009204;0.230097;-0.015340;0.230097;0.201381;0.000000;62.500000;84.500000;251.500000;82.500000;0.010582;0.792947;0.606282;1;0.534935;0.305500;0.006710;0.146910;0;Fri Jun 30 11:58:15 2023
0.009204;0.000000;-0.015340;0.000000;0.201176;0.000000;62.500000;84.500000;251.500000;82.500000;0.010582;0.000000;0.606282;1;0.162520;0.070863;0.009639;0.358770;0;Fri Jun 30 11:58:15 2023
0.009204;0.000000;-0.015340;0.000000;0.201176;0.000000;62.500000;82.500000;251.500000;82.500000;0.000000;-1.586017;0.000000;1;0.162520;0.070863;0.006484;0.118314;0;Fri Jun 30 11:58:15 2023
0.006136;-0.230097;-0.018408;-0.230097;0.200931;0.000000;62.500000;84.500000;251.500000;82.500000;0.010582;1.586085;0.606282;1;-0.317490;-0.304717;0.005735;0.034846;0;Fri Jun 30 11:58:15 2023
0.006136;-0.230097;-0.018408;-0.230097;0.200931;0.000000;63.500000;84.500000;251.500000;82.500000;0.010638;0.008436;0.609507;1;-0.317490;-0.304717;0.009221;-0.111016;0;Fri Jun 30 11:58:15 2023
0.006136;0.000000;-0.018408;0.000000;0.200686;0.000000;62.500000;84.500000;251.500000;82.500000;0.010582;-0.008435;0.606282;1;0.055374;0.168745;0.009983;0.167572;0;Fri Jun 30 11:58:15 2023
0.006136;0.000000;-0.018408;0.000000;0.200686;0.000000;63.500000;84.500000;251.500000;82.500000;0.010638;0.008436;0.609507;1;0.055374;0.168745;0.010578;0.205939;0;Fri Jun 30 11:58:15 2023
0.006136;0.000000;-0.018408;0.000000;0.200440;0.000000;62.500000;82.500000;251.500000;82.500000;0.000000;-1.594475;0.000000;1;0.055620;0.218846;0.007048;-0.175631;0;Fri Jun 30 11:58:15 2023
0.006136;0.000000;-0.018408;0.000000;0.200440;0.000000;62.500000;83.500000;251.500000;82.500000;0.005291;0.793042;0.303149;1;0.055620;0.218846;0.003912;-0.306498;0;Fri Jun 30 11:58:15 2023
