Starting new run:  K= -0.707100, -1.195200, 29.098000, -1.252100, 2.479700 - Sun Jan 21 12:15:50 2024
Qube Frequency: 150.000000, Cam framerate: 150.000000
AlphaDotTransformVector: 0.235928, 0.398786, -7.946669, 0.337026, 0.166832
alphaQube;alphaDotQube;thetaQube;thetaDotQube;z;thetaTarget;p1x;p1y;p2x;p2y;alphaCam;alphaDotCam;cameraAngle;twoDotCheck;Kx;KxCam;alphaFiltered;alphaDotFiltered;alphaFilteredGated;alphaDotFilteredGated;alphaDotKalman;alphaDotKKalman;camControl;systemTime
0.003068;0.000000;-0.012272;0.000000;0.269653;0.000000;41.500000;112.500000;253.500000;110.500000;0.009434;1.415052;0.540510;1;-0.086733;2.774106;0.002313;0.675546;0.000000;0.000000;1.162561;0.439052;0;Sun Jan 21 12:16:06 2024
0.003068;0.000000;-0.012272;0.000000;0.269572;0.000000;42.500000;111.500000;253.500000;113.500000;-0.009478;-2.836811;-0.543072;1;-0.086675;-5.842609;0.001168;-0.705629;0.000000;0.000000;-2.298922;0.396222;0;Sun Jan 21 12:16:06 2024
0.003068;0.000000;-0.012272;0.000000;0.269490;0.000000;41.500000;112.500000;253.500000;110.500000;0.009434;2.836811;0.540510;1;-0.086617;5.509973;0.000584;0.236981;0.000000;0.000000;2.286111;0.380194;0;Sun Jan 21 12:16:06 2024
0.003068;0.000000;-0.012272;0.000000;0.269408;0.000000;42.500000;111.500000;253.500000;110.500000;0.004739;-0.704157;0.271542;1;-0.086559;-1.339041;0.003773;0.242732;0.000000;0.000000;-0.513364;0.373975;0;Sun Jan 21 12:16:06 2024
0.003068;0.000000;-0.012272;0.000000;0.269326;0.000000;42.500000;114.500000;253.500000;110.500000;0.018955;2.132366;1.086046;1;-0.086502;4.364757;0.007732;1.797554;0.007732;1.159810;1.740349;0.371528;0;Sun Jan 21 12:16:06 2024
0.003068;0.000000;-0.012272;0.000000;0.269244;0.000000;40.500000;113.500000;254.500000;112.500000;0.004673;-2.142332;0.267735;1;-0.086444;-4.169181;0.009733;-0.735105;0.009733;0.300149;-1.724676;0.370560;0;Sun Jan 21 12:16:06 2024
0.003068;0.000000;-0.012272;0.000000;0.269162;0.000000;42.500000;111.500000;254.500000;112.500000;-0.004717;-1.408471;-0.270261;1;-0.086386;-3.018869;0.004948;-1.531863;0.004948;-0.717731;-1.204659;0.370176;0;Sun Jan 21 12:16:06 2024
0.006136;0.460194;-0.012272;0.000000;0.269081;0.000000;42.500000;111.500000;253.500000;110.500000;0.004739;1.418437;0.271542;1;1.144087;2.741211;0.002527;-0.429080;0.000000;-0.742228;1.146627;0.370024;0;Sun Jan 21 12:16:06 2024
0.006136;0.000000;-0.012272;0.000000;0.268999;0.000000;42.500000;111.500000;253.500000;110.500000;0.004739;0.000000;0.271542;1;0.003001;0.023444;0.003611;1.044568;0.000000;0.000000;0.037867;0.369963;0;Sun Jan 21 12:16:06 2024
0.006136;0.000000;-0.012272;0.000000;0.268917;0.000000;42.500000;114.500000;254.500000;112.500000;0.009434;0.704157;0.540510;1;0.003059;1.425764;0.005315;0.895341;0.005315;0.797287;0.583371;0.369939;0;Sun Jan 21 12:16:06 2024
0.003068;-0.460194;-0.015340;-0.460194;0.268815;0.000000;42.500000;112.500000;253.500000;110.500000;0.009478;0.006706;0.543072;1;-0.647408;0.667661;0.007345;-0.360835;0.007345;0.304517;0.019946;0.369930;0;Sun Jan 21 12:16:06 2024
0.003068;0.000000;-0.015340;0.000000;0.268713;0.000000;41.500000;113.500000;253.500000;110.500000;0.014150;0.700741;0.810735;1;-0.082401;1.458265;0.009536;0.393921;0.009536;0.328617;0.545411;0.369926;0;Sun Jan 21 12:16:06 2024
0.003068;0.000000;-0.015340;0.000000;0.268610;0.000000;42.500000;113.500000;254.500000;112.500000;0.004717;-1.414958;0.270261;1;-0.082329;-2.762369;0.009485;-0.172339;0.009485;-0.007695;-1.156091;0.369925;0;Sun Jan 21 12:16:06 2024
0.003068;0.000000;-0.015340;0.000000;0.268508;0.000000;42.500000;114.500000;253.500000;109.500000;0.023692;2.846295;1.357466;1;-0.082256;5.893783;0.011798;0.706922;0.011798;0.347043;2.307537;0.369924;0;Sun Jan 21 12:16:06 2024
0.003068;0.000000;-0.015340;0.000000;0.268406;0.000000;42.500000;113.500000;254.500000;112.500000;0.004717;-2.846295;0.270261;1;-0.082184;-5.480080;0.012977;-0.496742;0.012977;0.176818;-2.293115;0.369924;0;Sun Jan 21 12:16:06 2024
0.003068;0.000000;-0.015340;0.000000;0.268303;0.000000;42.500000;114.500000;253.500000;112.500000;0.009478;0.714216;0.543072;1;-0.082112;1.416780;0.010093;-0.132280;0.010093;-0.432697;0.522034;0.369924;0;Sun Jan 21 12:16:06 2024
0.003068;0.000000;-0.015340;0.000000;0.268201;0.000000;42.500000;111.500000;254.500000;112.500000;-0.004717;-2.129300;-0.270261;1;-0.082039;-4.295100;0.006310;-1.691788;0.006310;-0.567438;-1.737060;0.369924;0;Sun Jan 21 12:16:06 2024
0.006136;0.460194;-0.015340;0.000000;0.268099;0.000000;42.500000;113.500000;253.500000;113.500000;0.000000;0.707542;0.000000;1;1.148448;1.243736;0.002058;-0.059945;0.000000;-0.946453;0.546472;0.369924;0;Sun Jan 21 12:16:06 2024
0.006136;0.000000;-0.015340;0.000000;0.267997;0.000000;42.500000;110.500000;254.500000;111.500000;-0.004717;-0.707542;-0.270261;1;0.007377;-1.550122;-0.000108;-0.149463;0.000000;0.000000;-0.554831;0.369924;0;Sun Jan 21 12:16:06 2024
0.006136;0.000000;-0.015340;0.000000;0.267894;0.000000;41.500000;113.500000;252.500000;111.500000;0.009478;2.129300;0.543072;1;0.007449;4.200074;0.001113;1.054267;0.000000;0.000000;1.749726;0.369924;0;Sun Jan 21 12:16:06 2024
0.003068;0.000000;-0.018408;0.000000;0.267649;0.000000;42.500000;111.500000;254.500000;111.500000;0.000000;-1.421758;0.000000;1;-0.077982;-2.858508;0.002891;-0.049998;0.000000;0.000000;-1.119238;0.369924;0;Sun Jan 21 12:16:06 2024
0.003068;0.000000;-0.021476;-0.460194;0.267506;0.000000;42.500000;111.500000;254.500000;111.500000;0.000000;0.000000;0.000000;1;0.501995;0.397656;0.001473;-0.295843;0.000000;0.000000;-0.023360;0.369924;0;Sun Jan 21 12:16:06 2024
0.003068;0.000000;-0.021476;0.000000;0.267363;0.000000;41.500000;111.500000;253.500000;109.500000;0.009434;1.415052;0.540510;1;-0.074113;2.762349;0.003064;0.151503;0.000000;0.000000;1.143924;0.369924;0;Sun Jan 21 12:16:06 2024
0.000000;-0.460194;-0.021476;0.000000;0.267219;0.000000;41.500000;112.500000;253.500000;109.500000;0.014150;0.707447;0.810735;1;-1.304427;1.567033;0.007344;1.260032;0.007344;1.101543;0.611619;0.369924;0;Sun Jan 21 12:16:06 2024
0.000000;0.000000;-0.024544;-0.460194;0.267056;0.000000;42.500000;112.500000;254.500000;111.500000;0.004717;-1.414958;0.270261;1;0.416709;-2.202916;0.008368;-0.049724;0.008368;0.153619;-1.154619;0.369924;0;Sun Jan 21 12:16:06 2024
0.000000;0.000000;-0.024544;0.000000;0.266892;0.000000;42.500000;109.500000;253.500000;109.500000;0.000000;-0.707542;0.000000;1;-0.159385;-1.590000;0.005420;-1.357482;0.005420;-0.442168;-0.640531;0.369924;0;Sun Jan 21 12:16:06 2024
0.000000;0.000000;-0.024544;0.000000;0.266729;0.000000;42.500000;109.500000;254.500000;111.500000;-0.009434;-1.415052;-0.540510;1;-0.159269;-3.052778;0.000448;-1.368286;0.000000;-0.812995;-1.172140;0.369924;0;Sun Jan 21 12:16:06 2024
0.000000;0.000000;-0.024544;0.000000;0.266565;0.000000;42.500000;109.500000;254.500000;111.500000;-0.009434;0.000000;-0.540510;1;-0.159153;-0.316963;-0.004398;-0.195133;-0.004398;-0.659678;-0.012034;0.369924;0;Sun Jan 21 12:16:06 2024
0.000000;0.000000;-0.024544;0.000000;0.266401;0.000000;41.500000;110.500000;254.500000;111.500000;-0.004695;0.710832;-0.268992;1;-0.159038;1.178871;-0.005705;0.387538;-0.005705;-0.196074;0.606490;0.369924;0;Sun Jan 21 12:16:06 2024
0.000000;0.000000;-0.024544;0.000000;0.266238;0.000000;42.500000;110.500000;254.500000;111.500000;-0.004717;-0.003322;-0.270261;1;-0.158922;-0.232665;-0.005214;0.392085;-0.005214;0.073582;0.031450;0.369924;0;Sun Jan 21 12:16:06 2024
0.000000;0.000000;-0.024544;0.000000;0.266074;0.000000;42.500000;112.500000;253.500000;111.500000;0.004739;1.418437;0.271542;1;-0.158806;2.696113;-0.002651;0.660145;0.000000;0.782169;1.182428;0.369924;0;Sun Jan 21 12:16:06 2024
0.000000;0.000000;-0.024544;0.000000;0.265910;0.000000;42.500000;110.500000;253.500000;109.500000;0.004739;0.000000;0.271542;1;-0.158691;-0.036306;0.000973;0.519949;0.000000;0.000000;0.037933;0.369924;0;Sun Jan 21 12:16:06 2024
0.003068;0.460194;-0.024544;0.000000;0.265747;0.000000;42.500000;110.500000;254.500000;111.500000;-0.004717;-1.418437;-0.270261;1;1.071840;-3.024120;0.000501;-0.414836;0.000000;0.000000;-1.161485;0.369924;0;Sun Jan 21 12:16:06 2024
0.003068;0.000000;-0.024544;0.000000;0.265583;0.000000;41.500000;110.500000;253.500000;111.500000;-0.004717;0.000000;-0.270261;1;-0.069188;-0.264076;-0.002058;-1.029647;0.000000;0.000000;-0.018446;0.369924;0;Sun Jan 21 12:16:06 2024
0.000000;-0.460194;-0.024544;0.000000;0.265420;0.000000;42.500000;111.500000;253.500000;112.500000;-0.004739;-0.003353;-0.271542;1;-1.299487;-0.224534;-0.003367;-0.176944;0.000000;0.000000;0.012818;0.369924;0;Sun Jan 21 12:16:06 2024
0.000000;0.000000;-0.024544;0.000000;0.265256;0.000000;42.500000;110.500000;253.500000;111.500000;-0.004739;0.000000;-0.271542;1;-0.158228;-0.234789;-0.004040;0.578264;-0.004040;-0.605953;0.016529;0.369924;0;Sun Jan 21 12:16:06 2024
0.000000;0.000000;-0.024544;0.000000;0.265092;0.000000;41.500000;111.500000;253.500000;111.500000;0.000000;0.710895;0.000000;1;-0.158112;1.237691;-0.003220;0.205245;0.000000;0.605953;0.600681;0.369924;0;Sun Jan 21 12:16:06 2024
0.003068;0.460194;-0.024544;0.000000;0.264929;0.000000;42.500000;111.500000;253.500000;111.500000;0.000000;0.000000;0.000000;1;1.072419;-0.138057;-0.001641;0.062716;0.000000;0.000000;0.027294;0.369924;0;Sun Jan 21 12:16:06 2024
0.003068;0.000000;-0.024544;0.000000;0.264765;0.000000;42.500000;112.500000;254.500000;111.500000;0.004717;0.707542;0.270261;1;-0.068609;1.318222;0.000321;0.619862;0.000000;0.000000;0.591512;0.369924;0;Sun Jan 21 12:16:06 2024
0.003068;0.000000;-0.024544;0.000000;0.264601;0.000000;42.500000;112.500000;253.500000;111.500000;0.004739;0.003353;0.271542;1;-0.068494;-0.028326;0.002482;0.226895;0.000000;0.000000;0.023074;0.369924;0;Sun Jan 21 12:16:06 2024
0.003068;0.000000;-0.024544;0.000000;0.264438;0.000000;42.500000;110.500000;254.500000;112.500000;-0.009434;-2.125948;-0.540510;1;-0.068378;-4.477083;0.000114;-1.075398;0.000000;0.000000;-1.743250;0.369924;0;Sun Jan 21 12:16:06 2024
