Starting new run:  K= -0.707100, -1.195200, 29.098000, -1.252100, 2.479700 - Sun Jan 21 12:25:21 2024
Qube Frequency: 150.000000, Cam framerate: 150.000000
AlphaDotTransformVector: 0.235928, 0.398786, -7.946669, 0.337026, 0.166832
alphaQube;alphaDotQube;thetaQube;thetaDotQube;z;thetaTarget;p1x;p1y;p2x;p2y;alphaCam;alphaDotCam;cameraAngle;twoDotCheck;Kx;KxCam;alphaFiltered;alphaDotFiltered;alphaFilteredGated;alphaDotFilteredGated;alphaDotKalman;alphaDotKKalman;camControl;systemTime
0.009204;0.460194;-0.021476;0.000000;0.077517;0.000000;41.500000;107.500000;253.500000;104.500000;0.014150;2.122500;0.810735;1;1.379814;4.395857;0.003470;1.013281;0.000000;0.000000;1.743777;0.439052;0;Sun Jan 21 12:25:34 2024
0.009204;0.000000;-0.021476;0.000000;0.077374;0.000000;42.500000;104.500000;253.500000;104.500000;0.000000;-2.122500;0.000000;1;0.238771;-4.117422;0.005237;-0.040322;0.005237;0.785600;-1.710196;0.396222;0;Sun Jan 21 12:25:34 2024
0.006136;-0.460194;-0.021476;0.000000;0.077231;0.000000;42.500000;106.500000;254.500000;105.500000;0.004717;0.707542;0.270261;1;-0.991543;1.401839;0.003825;-0.360555;0.000000;-0.785600;0.532113;0.380194;0;Sun Jan 21 12:25:34 2024
0.003068;-0.460194;-0.024544;-0.460194;0.077067;0.000000;42.500000;107.500000;252.500000;106.500000;0.004762;0.006738;0.272835;1;-0.500822;0.716081;0.004273;-0.478735;0.004273;0.640958;0.016411;0.373975;0;Sun Jan 21 12:25:34 2024
0.003068;0.000000;-0.024544;0.000000;0.076904;0.000000;42.500000;105.500000;253.500000;104.500000;0.004739;-0.003385;0.271542;1;0.064228;0.018757;0.004507;0.661746;0.004507;0.035063;-0.035221;0.371528;0;Sun Jan 21 12:25:34 2024
0.003068;0.000000;-0.024544;0.000000;0.076740;0.000000;41.500000;106.500000;253.500000;104.500000;0.009434;0.704157;0.540510;1;0.064343;1.561980;0.005771;0.363280;0.005771;0.189694;0.572235;0.370560;0;Sun Jan 21 12:25:34 2024
0.003068;0.000000;-0.024544;0.000000;0.076576;0.000000;42.500000;105.500000;253.500000;104.500000;0.004739;-0.704157;0.271542;1;0.064459;-1.259914;0.006416;-0.328732;0.006416;0.096649;-0.573371;0.370176;0;Sun Jan 21 12:25:34 2024
0.003068;0.000000;-0.024544;0.000000;0.076413;0.000000;42.500000;104.500000;253.500000;104.500000;0.000000;-0.710895;0.000000;1;0.064575;-1.399356;0.004431;-0.514083;0.004431;-0.297728;-0.606359;0.370024;0;Sun Jan 21 12:25:34 2024
0.003068;0.000000;-0.024544;0.000000;0.076249;0.000000;41.500000;107.500000;253.500000;104.500000;0.014150;2.122500;0.810735;1;0.064690;4.424997;0.005727;0.576030;0.005727;0.194433;1.727197;0.369963;0;Sun Jan 21 12:25:34 2024
0.003068;0.000000;-0.024544;0.000000;0.076085;0.000000;43.500000;106.500000;253.500000;104.500000;0.009524;-0.693972;0.545658;1;0.064806;-1.103067;0.008723;0.677948;0.008723;0.449339;-0.537329;0.369939;0;Sun Jan 21 12:25:34 2024
0.003068;0.000000;-0.024544;0.000000;0.075922;0.000000;42.500000;105.500000;254.500000;106.500000;-0.004717;-2.136070;-0.270261;1;0.064922;-4.281964;0.005623;-0.913091;0.005623;-0.464988;-1.782968;0.369930;0;Sun Jan 21 12:25:34 2024
0.003068;0.000000;-0.021476;0.460194;0.075779;0.000000;42.500000;104.500000;253.500000;104.500000;0.000000;0.707542;0.000000;1;-0.514853;0.775582;0.001708;-1.312841;0.000000;-0.843420;0.536356;0.369926;0;Sun Jan 21 12:25:34 2024
0.003068;0.000000;-0.021476;0.000000;0.075635;0.000000;41.500000;107.500000;253.500000;104.500000;0.014150;2.122500;0.810735;1;0.061457;4.534849;0.004340;1.241372;0.004340;0.650988;1.789080;0.369925;0;Sun Jan 21 12:25:34 2024
0.003068;0.000000;-0.021476;0.000000;0.075492;0.000000;41.500000;107.500000;253.500000;104.500000;0.014150;0.000000;0.810735;1;0.061559;0.324961;0.009150;1.831846;0.009150;0.721564;0.034850;0.369924;0;Sun Jan 21 12:25:34 2024
0.003068;0.000000;-0.021476;0.000000;0.075349;0.000000;42.500000;107.500000;254.500000;106.500000;0.004717;-1.414958;0.270261;1;0.061660;-2.683040;0.009288;-0.763554;0.009288;0.020689;-1.179860;0.369924;0;Sun Jan 21 12:25:34 2024
0.006136;0.460194;-0.021476;0.000000;0.075206;0.000000;41.500000;107.500000;253.500000;104.500000;0.014150;1.414958;0.810735;1;1.292176;3.027813;0.009359;-0.794062;0.009359;0.010541;1.122317;0.369924;0;Sun Jan 21 12:25:34 2024
0.006136;0.000000;-0.021476;0.000000;0.075063;0.000000;41.500000;107.500000;253.500000;104.500000;0.014150;0.000000;0.810735;1;0.151134;0.350405;0.011707;0.743485;0.011707;0.352318;0.014983;0.369924;0;Sun Jan 21 12:25:34 2024
0.003068;-0.460194;-0.021476;0.000000;0.074920;0.000000;41.500000;107.500000;253.500000;108.500000;-0.004717;-2.830042;-0.270261;1;-1.079180;-5.596515;0.008278;-0.477620;0.008278;-0.514420;-2.343056;0.369924;0;Sun Jan 21 12:25:34 2024
0.003068;0.000000;-0.021476;0.000000;0.074776;0.000000;41.500000;107.500000;253.500000;104.500000;0.014150;2.830042;0.810735;1;0.062065;5.775957;0.006531;-0.557388;0.006531;-0.262097;2.263636;0.369924;0;Sun Jan 21 12:25:34 2024
0.003068;0.000000;-0.021476;0.000000;0.074633;0.000000;43.500000;106.500000;253.500000;108.500000;-0.009524;-3.551028;-0.545658;1;0.062166;-7.010220;0.004462;-1.043109;0.004462;-0.310324;-2.868469;0.369924;0;Sun Jan 21 12:25:34 2024
0.003068;0.000000;-0.021476;0.000000;0.074490;0.000000;42.500000;105.500000;253.500000;105.500000;0.000000;1.428528;0.000000;1;0.062267;2.707198;-0.000062;0.535102;0.000000;-0.669260;1.103361;0.369924;0;Sun Jan 21 12:25:34 2024
0.003068;0.000000;-0.018408;0.460194;0.074367;0.000000;42.500000;107.500000;253.500000;104.500000;0.014217;2.132558;0.814577;1;-0.517522;3.923691;0.003454;0.519947;0.000000;0.000000;1.786493;0.369924;0;Sun Jan 21 12:25:34 2024
0.003068;0.000000;-0.018408;0.000000;0.074245;0.000000;41.500000;107.500000;253.500000;104.500000;0.014150;-0.010058;0.810735;1;0.058774;0.357644;0.008716;1.484423;0.008716;1.307348;0.054254;0.369924;0;Sun Jan 21 12:25:34 2024
0.006136;0.460194;-0.018408;0.000000;0.074122;0.000000;42.500000;105.500000;253.500000;105.500000;0.000000;-2.122500;0.000000;1;1.289276;-4.165528;0.007910;-0.684192;0.007910;-0.120817;-1.760410;0.369924;0;Sun Jan 21 12:25:34 2024
0.006136;0.000000;-0.018408;0.000000;0.073999;0.000000;43.500000;107.500000;254.500000;107.500000;0.000000;0.000000;0.000000;1;0.148219;-0.038509;0.004030;-1.640337;0.004030;-0.581993;-0.050594;0.369924;0;Sun Jan 21 12:25:34 2024
0.006136;0.000000;-0.015340;0.460194;0.073897;0.000000;42.500000;108.500000;253.500000;104.500000;0.018955;2.843261;1.086046;1;-0.431585;5.378014;0.006701;1.052045;0.006701;0.400642;2.336230;0.369924;0;Sun Jan 21 12:25:34 2024
0.006136;0.000000;-0.018408;-0.460194;0.073774;0.000000;41.500000;106.500000;253.500000;105.500000;0.004717;-2.135719;0.270261;1;0.724587;-3.357251;0.009219;1.086126;0.009219;0.377616;-1.682276;0.369924;0;Sun Jan 21 12:25:34 2024
0.006136;0.000000;-0.018408;0.000000;0.073652;0.000000;42.500000;108.500000;253.500000;109.500000;-0.004739;-1.418437;-0.271542;1;0.148465;-2.988201;0.004691;-1.264511;0.004691;-0.679084;-1.247987;0.369924;0;Sun Jan 21 12:25:34 2024
0.003068;-0.460194;-0.018408;0.000000;0.073529;0.000000;42.500000;108.500000;252.500000;107.500000;0.004762;1.425175;0.272835;1;-1.081863;2.872130;0.002396;-1.395629;0.000000;-0.703712;1.142238;0.369924;0;Sun Jan 21 12:25:34 2024
0.003068;0.000000;-0.018408;0.000000;0.073406;0.000000;42.500000;106.500000;252.500000;108.500000;-0.009524;-2.142809;-0.545658;1;0.059367;-4.321776;0.000053;0.050073;0.000000;0.000000;-1.731426;0.369924;0;Sun Jan 21 12:25:34 2024
0.003068;0.000000;-0.018408;0.000000;0.073283;0.000000;42.500000;105.500000;253.500000;107.500000;-0.009478;0.006770;-0.543072;1;0.059454;-0.240721;-0.004632;0.183798;-0.004632;-0.694832;-0.030695;0.369924;0;Sun Jan 21 12:25:34 2024
0.003068;0.000000;-0.018408;0.000000;0.073161;0.000000;42.500000;108.500000;253.500000;105.500000;0.014217;3.554316;0.814577;1;0.059541;7.211865;-0.001198;0.589471;0.000000;0.694832;2.934412;0.369924;0;Sun Jan 21 12:25:34 2024
0.003068;0.000000;-0.015340;0.460194;0.073058;0.000000;42.500000;108.500000;253.500000;105.500000;0.014217;0.000000;0.814577;1;-0.520263;-0.253418;0.006362;1.689922;0.006362;0.954235;0.068963;0.369924;0;Sun Jan 21 12:25:34 2024
0.003068;0.000000;-0.015340;0.000000;0.072956;0.000000;42.500000;108.500000;253.500000;105.500000;0.014217;0.000000;0.814577;1;0.056018;0.292579;0.010213;1.060460;0.010213;0.577754;0.011552;0.369924;0;Sun Jan 21 12:25:34 2024
0.003068;0.000000;-0.015340;0.000000;0.072854;0.000000;42.500000;105.500000;253.500000;105.500000;0.000000;-2.132558;0.000000;1;0.056091;-4.169089;0.008690;-1.978443;0.008690;-0.228537;-1.769875;0.369924;0;Sun Jan 21 12:25:34 2024
0.006136;0.460194;-0.015340;0.000000;0.072752;0.000000;41.500000;108.500000;253.500000;109.500000;-0.004717;-0.707542;-0.270261;1;1.286578;-1.505115;0.003271;-1.727611;0.000000;-1.303451;-0.632004;0.369924;0;Sun Jan 21 12:25:34 2024
0.006136;0.000000;-0.012272;0.460194;0.072670;0.000000;41.500000;108.500000;253.500000;106.500000;0.009434;2.122594;0.540510;1;-0.434384;3.768274;0.002823;0.995107;0.000000;0.000000;1.733700;0.369924;0;Sun Jan 21 12:25:34 2024
0.006136;0.000000;-0.012272;0.000000;0.072506;0.000000;41.500000;109.500000;253.500000;105.500000;0.018866;1.414801;1.080924;1;0.141883;3.258244;0.008377;2.339440;0.008377;1.256600;1.230447;0.369924;0;Sun Jan 21 12:25:34 2024
0.006136;0.000000;-0.012272;0.000000;0.072424;0.000000;43.500000;108.500000;253.500000;105.500000;0.014285;-0.687142;0.818455;1;0.141941;-1.045848;0.012397;0.212076;0.012397;0.602911;-0.552473;0.369924;0;Sun Jan 21 12:25:34 2024
0.006136;0.000000;-0.012272;0.000000;0.072343;0.000000;42.500000;106.500000;252.500000;108.500000;-0.009524;-3.571240;-0.545658;1;0.142057;-7.179808;0.007484;-2.705233;0.007484;-0.736972;-2.968536;0.369924;0;Sun Jan 21 12:25:34 2024
0.006136;0.000000;-0.012272;0.000000;0.072261;0.000000;42.500000;109.500000;254.500000;108.500000;0.004717;2.136070;0.270261;1;0.142115;4.211660;0.002634;-0.491441;0.000000;-1.122538;1.682234;0.369924;0;Sun Jan 21 12:25:34 2024
0.006136;0.000000;-0.012272;0.000000;0.072179;0.000000;41.500000;109.500000;253.500000;109.500000;0.000000;-0.707542;0.000000;1;0.142173;-1.292125;0.002499;0.590227;0.000000;0.000000;-0.535736;0.369924;0;Sun Jan 21 12:25:34 2024
0.006136;0.000000;-0.012272;0.000000;0.072097;0.000000;42.500000;107.500000;252.500000;108.500000;-0.004762;-0.714280;-0.272835;1;0.142231;-1.522580;0.000106;0.103778;0.000000;0.000000;-0.600612;0.369924;0;Sun Jan 21 12:25:34 2024
0.006136;0.000000;-0.009204;0.460194;0.072036;0.000000;41.500000;107.500000;253.500000;106.500000;0.004717;1.421822;0.270261;1;-0.437602;2.259462;0.000043;-0.263938;0.000000;0.000000;1.159158;0.369924;0;Sun Jan 21 12:25:34 2024
0.006136;0.000000;-0.009204;0.000000;0.071974;0.000000;42.500000;106.500000;252.500000;108.500000;-0.009524;-2.136070;-0.545658;1;0.138650;-4.281743;-0.001157;-0.378758;0.000000;0.000000;-1.697056;0.369924;0;Sun Jan 21 12:25:34 2024
0.006136;0.000000;-0.009204;0.000000;0.071913;0.000000;41.500000;107.500000;253.500000;106.500000;0.004717;2.136070;0.270261;1;0.138694;4.174501;-0.001768;0.460012;0.000000;0.000000;1.720286;0.369924;0;Sun Jan 21 12:25:34 2024
0.006136;0.000000;-0.009204;0.000000;0.071852;0.000000;42.500000;109.500000;253.500000;108.500000;0.004739;0.003353;0.271542;1;0.138737;0.124566;0.001418;0.339511;0.000000;0.000000;0.049649;0.369924;0;Sun Jan 21 12:25:34 2024
0.006136;0.000000;-0.006136;0.460194;0.071811;0.000000;42.500000;108.500000;253.500000;106.500000;0.009478;0.710863;0.543072;1;-0.441110;0.943886;0.004209;1.214248;0.004209;0.631289;0.581150;0.369924;0;Sun Jan 21 12:25:34 2024
0.009204;0.460194;-0.006136;0.000000;0.071770;0.000000;42.500000;108.500000;253.500000;106.500000;0.009478;0.000000;0.543072;1;1.365543;0.238842;0.006792;-0.248506;0.006792;0.387583;0.034121;0.369924;0;Sun Jan 21 12:25:34 2024
0.009204;0.000000;-0.006136;0.000000;0.071729;0.000000;41.500000;107.500000;254.500000;108.500000;-0.004695;-2.125979;-0.268992;1;0.224429;-4.264084;0.004634;-1.182072;0.004634;-0.323816;-1.756474;0.369924;0;Sun Jan 21 12:25:34 2024
0.009204;0.000000;-0.006136;0.000000;0.071688;0.000000;41.500000;109.500000;254.500000;108.500000;0.004695;1.408440;0.268992;1;0.224458;2.787928;0.002361;0.021218;0.000000;-0.695056;1.114082;0.369924;0;Sun Jan 21 12:25:34 2024
0.006136;-0.460194;-0.006136;0.000000;0.071647;0.000000;41.500000;107.500000;254.500000;108.500000;-0.004695;-1.408440;-0.268992;1;-1.005929;-2.805529;0.001203;-0.374287;0.000000;0.000000;-1.128040;0.369924;0;Sun Jan 21 12:25:34 2024
0.006136;0.000000;-0.006136;0.000000;0.071606;0.000000;42.500000;110.500000;253.500000;106.500000;0.018955;3.547482;1.086046;1;0.135244;7.242989;0.004109;1.515997;0.004109;0.616422;2.890152;0.369924;0;Sun Jan 21 12:25:34 2024
