Starting new run:  K= -1.000000, -1.661800, 36.745900, -1.622700, 3.242100 - Sun Jan 21 15:10:11 2024
Qube Frequency: 80.000000, Cam framerate: 80.000000
AlphaDotTransformVector: 0.625605, 1.039630, -19.684569, 0.863773, -1.039151
alphaQube;alphaDotQube;thetaQube;thetaDotQube;z;thetaTarget;p1x;p1y;p2x;p2y;alphaCam;alphaDotCam;cameraAngle;twoDotCheck;Kx;KxCam;alphaFiltered;alphaDotFiltered;alphaFilteredGated;alphaDotFilteredGated;alphaDotKalman;alphaDotKKalman;camControl;systemTime
0.006136;0.000000;-0.024544;0.245437;0.184346;0.000000;42.500000;108.500000;253.500000;106.500000;0.009478;0.758271;0.543072;1;-0.316360;1.563305;0.002324;0.361999;0.000000;0.000000;0.622971;0.439052;0;Sun Jan 21 15:10:22 2024
0.003068;-0.245437;-0.027612;-0.245437;0.184001;0.000000;42.500000;108.500000;253.500000;109.500000;-0.004739;-1.137415;-0.271542;1;-0.422841;-2.991090;0.002346;-0.195408;0.000000;0.000000;-1.029412;0.396222;0;Sun Jan 21 15:10:22 2024
0.003068;0.000000;-0.024544;0.245437;0.183694;0.000000;42.500000;109.500000;253.500000;107.500000;0.009478;1.137415;0.543072;1;-0.428443;3.175208;0.002357;0.119718;0.000000;0.000000;1.119571;0.380194;0;Sun Jan 21 15:10:22 2024
0.006136;0.245437;-0.024544;0.000000;0.183387;0.000000;42.500000;108.500000;253.500000;109.500000;-0.004739;-1.137415;-0.271542;1;0.878600;-3.691987;0.002363;-0.358715;0.000000;0.000000;-1.121563;0.373975;0;Sun Jan 21 15:10:22 2024
0.009204;0.245437;-0.021476;0.245437;0.183119;0.000000;42.500000;109.500000;253.500000;106.500000;0.014217;1.516508;0.814577;1;0.588235;4.403113;0.003528;0.647905;0.000000;0.000000;1.486437;0.371528;0;Sun Jan 21 15:10:22 2024
0.009204;0.000000;-0.021476;0.000000;0.182851;0.000000;42.500000;110.500000;254.500000;108.500000;0.009434;-0.382670;0.540510;1;0.191043;-1.766758;0.007597;0.147033;0.007597;0.607732;-0.585652;0.370560;0;Sun Jan 21 15:10:22 2024
0.006136;-0.245437;-0.021476;0.000000;0.182582;0.000000;42.500000;109.500000;252.500000;107.500000;0.009524;0.007187;0.545658;1;-0.717155;0.483176;0.008519;0.169443;0.008519;0.073772;0.097788;0.370176;0;Sun Jan 21 15:10:22 2024
0.006136;0.000000;-0.024544;-0.245437;0.182275;0.000000;42.500000;109.500000;253.500000;109.500000;0.000000;-0.761882;0.000000;1;0.482252;-1.641343;0.006675;-0.673846;0.006675;-0.147464;-0.661122;0.370024;0;Sun Jan 21 15:10:22 2024
0.006136;0.000000;-0.024544;0.000000;0.181968;0.000000;42.500000;109.500000;254.500000;108.500000;0.004717;0.377356;0.270261;1;0.084288;1.357417;0.004558;-0.135521;0.004558;-0.169419;0.410573;0.369963;0;Sun Jan 21 15:10:22 2024
0.003068;-0.245437;-0.024544;0.000000;0.181662;0.000000;42.500000;109.500000;253.500000;106.500000;0.014217;0.760008;0.814577;1;-0.823871;1.889981;0.006965;0.566615;0.006965;0.192563;0.547463;0.369939;0;Sun Jan 21 15:10:22 2024
