Starting new run: Thu Jul 06 15:11:38 2023

alphaCam;alphaDotCam;systemTime
0.000000;-0.344592;Thu Jul 06 15:11:44 2023
0.000000;0.000000;Thu Jul 06 15:11:44 2023
0.000000;0.000000;Thu Jul 06 15:11:44 2023
0.000000;0.000000;Thu Jul 06 15:11:44 2023
0.000000;0.000000;Thu Jul 06 15:11:44 2023
0.000000;0.000000;Thu Jul 06 15:11:44 2023
0.000000;0.000000;Thu Jul 06 15:11:44 2023
0.000000;0.000000;Thu Jul 06 15:11:44 2023
0.000000;0.000000;Thu Jul 06 15:11:44 2023
0.000000;0.000000;Thu Jul 06 15:11:44 2023
0.000000;0.000000;Thu Jul 06 15:11:44 2023
0.005291;0.344466;Thu Jul 06 15:11:44 2023
0.000000;-0.344427;Thu Jul 06 15:11:44 2023
0.000000;0.000000;Thu Jul 06 15:11:44 2023
0.005291;0.344346;Thu Jul 06 15:11:44 2023
0.005291;0.000000;Thu Jul 06 15:11:44 2023
0.000000;-0.345236;Thu Jul 06 15:11:44 2023
0.005291;0.345225;Thu Jul 06 15:11:44 2023
0.000000;-0.345195;Thu Jul 06 15:11:44 2023
0.000000;0.000000;Thu Jul 06 15:11:44 2023
0.000000;0.000000;Thu Jul 06 15:11:44 2023
0.005263;0.343652;Thu Jul 06 15:11:44 2023
0.005291;0.001819;Thu Jul 06 15:11:44 2023
0.000000;-0.345759;Thu Jul 06 15:11:44 2023
0.005263;0.343843;Thu Jul 06 15:11:44 2023
0.000000;-0.343942;Thu Jul 06 15:11:44 2023
0.000000;0.000000;Thu Jul 06 15:11:44 2023
0.005291;0.346175;Thu Jul 06 15:11:44 2023
0.000000;-0.346360;Thu Jul 06 15:11:44 2023
0.000000;0.000000;Thu Jul 06 15:11:44 2023
0.000000;0.000000;Thu Jul 06 15:11:44 2023
0.005263;0.345019;Thu Jul 06 15:11:44 2023
0.000000;-0.345309;Thu Jul 06 15:11:44 2023
0.000000;0.000000;Thu Jul 06 15:11:44 2023
0.005319;0.349459;Thu Jul 06 15:11:44 2023
0.000000;-0.349621;Thu Jul 06 15:11:44 2023
0.005291;0.347710;Thu Jul 06 15:11:44 2023
0.000000;-0.347913;Thu Jul 06 15:11:44 2023
0.005291;0.348070;Thu Jul 06 15:11:44 2023
0.005291;0.000000;Thu Jul 06 15:11:44 2023
0.000000;-0.348255;Thu Jul 06 15:11:44 2023
0.000000;0.000000;Thu Jul 06 15:11:44 2023
0.000000;0.000000;Thu Jul 06 15:11:44 2023
0.000000;0.000000;Thu Jul 06 15:11:44 2023
0.000000;0.000000;Thu Jul 06 15:11:44 2023
0.000000;0.000000;Thu Jul 06 15:11:44 2023
0.005291;0.348992;Thu Jul 06 15:11:44 2023
0.000000;-0.348993;Thu Jul 06 15:11:44 2023
0.000000;0.000000;Thu Jul 06 15:11:44 2023
0.000000;0.000000;Thu Jul 06 15:11:44 2023
0.000000;0.000000;Thu Jul 06 15:11:44 2023
-0.005291;-0.349519;Thu Jul 06 15:11:44 2023
0.005291;0.699203;Thu Jul 06 15:11:44 2023
0.000000;-0.349586;Thu Jul 06 15:11:44 2023
0.005263;0.347981;Thu Jul 06 15:11:44 2023
0.005291;0.001842;Thu Jul 06 15:11:44 2023
0.000000;-0.350078;Thu Jul 06 15:11:44 2023
-0.005291;-0.350113;Thu Jul 06 15:11:44 2023
0.000000;0.350308;Thu Jul 06 15:11:44 2023
0.000000;0.000000;Thu Jul 06 15:11:44 2023
0.000000;0.000000;Thu Jul 06 15:11:45 2023
0.000000;0.000000;Thu Jul 06 15:11:45 2023
0.005291;0.350795;Thu Jul 06 15:11:45 2023
0.000000;-0.350771;Thu Jul 06 15:11:45 2023
0.000000;0.000000;Thu Jul 06 15:11:45 2023
0.005291;0.350704;Thu Jul 06 15:11:45 2023
0.000000;-0.350652;Thu Jul 06 15:11:45 2023
0.000000;0.000000;Thu Jul 06 15:11:45 2023
0.000000;0.000000;Thu Jul 06 15:11:45 2023
0.000000;0.000000;Thu Jul 06 15:11:45 2023
-0.005236;-0.347761;Thu Jul 06 15:11:45 2023
0.000000;0.347708;Thu Jul 06 15:11:45 2023
0.000000;0.000000;Thu Jul 06 15:11:45 2023
0.005291;0.351282;Thu Jul 06 15:11:45 2023
-0.005291;-0.702572;Thu Jul 06 15:11:45 2023
0.005319;0.704446;Thu Jul 06 15:11:45 2023
0.005291;-0.001869;Thu Jul 06 15:11:45 2023
0.005291;0.000000;Thu Jul 06 15:11:45 2023
0.000000;-0.351246;Thu Jul 06 15:11:45 2023
0.000000;0.000000;Thu Jul 06 15:11:45 2023
0.000000;0.000000;Thu Jul 06 15:11:45 2023
0.000000;0.000000;Thu Jul 06 15:11:45 2023
0.005291;0.351206;Thu Jul 06 15:11:45 2023
0.005291;0.000000;Thu Jul 06 15:11:45 2023
0.005291;0.000000;Thu Jul 06 15:11:45 2023
0.000000;-0.351123;Thu Jul 06 15:11:45 2023
0.000000;0.000000;Thu Jul 06 15:11:45 2023
0.005291;0.351505;Thu Jul 06 15:11:45 2023
0.000000;-0.351027;Thu Jul 06 15:11:45 2023
0.000000;0.000000;Thu Jul 06 15:11:45 2023
0.000000;0.000000;Thu Jul 06 15:11:45 2023
0.005291;0.351042;Thu Jul 06 15:11:45 2023
0.000000;-0.350993;Thu Jul 06 15:11:45 2023
0.005319;0.352862;Thu Jul 06 15:11:45 2023
0.000000;-0.352868;Thu Jul 06 15:11:45 2023
0.000000;0.000000;Thu Jul 06 15:11:45 2023
0.005291;0.350904;Thu Jul 06 15:11:45 2023
0.000000;-0.350927;Thu Jul 06 15:11:45 2023
0.005291;0.350879;Thu Jul 06 15:11:45 2023
0.000000;-0.350830;Thu Jul 06 15:11:45 2023
0.000000;0.000000;Thu Jul 06 15:11:45 2023
0.000000;0.000000;Thu Jul 06 15:11:45 2023
