Starting new run:  K= -1.000000, -1.661800, 36.745900, -1.622700, 3.242100 - Fri Jun 30 12:02:20 2023

alphaQube;alphaDotQube;thetaQube;thetaDotQube;z;thetaTarget;p1x;p1y;p2x;p2y;alphaCam;alphaDotCam;cameraAngle;twoDotCheck;Kx;KxCam;alphaFiltered;alphaDotFiltered;camControl;systemTime
-0.003068;0.000000;-0.000000;0.000000;0.149021;0.000000;62.500000;81.500000;251.500000;81.500000;0.000000;-0.797108;0.000000;1;-0.261756;-0.198008;0.001909;0.383395;0;Fri Jun 30 12:02:35 2023
0.000000;0.460194;0.003068;0.460194;0.149042;0.000000;62.500000;81.500000;251.500000;81.500000;0.000000;0.000000;0.000000;1;0.591099;-0.824560;0.000613;0.421982;0;Fri Jun 30 12:02:35 2023
0.003068;0.460194;0.003068;0.000000;0.149062;0.000000;62.500000;82.500000;251.500000;81.500000;0.005291;0.792883;0.303149;1;1.450570;-0.152174;0.002089;0.210164;0;Fri Jun 30 12:02:35 2023
0.003068;0.000000;0.006136;0.460194;0.149103;0.000000;61.500000;82.500000;250.500000;81.500000;0.005291;0.000000;0.303149;1;-0.793322;-0.822514;0.004259;0.097106;0;Fri Jun 30 12:02:35 2023
0.003068;0.000000;0.006136;0.000000;0.149144;0.000000;62.500000;82.500000;251.500000;81.500000;0.005291;0.000000;0.303149;1;-0.046606;-0.002853;0.004991;0.135592;0;Fri Jun 30 12:02:35 2023
0.003068;0.000000;0.006136;0.000000;0.149185;0.000000;64.500000;82.500000;251.500000;81.500000;0.005348;0.008480;0.306392;1;-0.046646;0.024033;0.005516;0.081210;0;Fri Jun 30 12:02:35 2023
0.003068;0.000000;0.006136;0.000000;0.149226;0.000000;63.500000;81.500000;251.500000;81.500000;0.000000;-0.801363;0.000000;1;-0.046687;0.043251;0.003630;-0.130826;0;Fri Jun 30 12:02:35 2023
0.003068;0.000000;0.006136;0.000000;0.149267;0.000000;61.500000;83.500000;251.500000;81.500000;0.010526;1.577358;0.603091;1;-0.046728;-0.026069;0.004724;0.030158;0;Fri Jun 30 12:02:35 2023
0.003068;0.000000;0.006136;0.000000;0.149307;0.000000;61.500000;82.500000;251.500000;81.500000;0.005263;-0.788646;0.301554;1;-0.046769;0.014099;0.006694;-0.004882;0;Fri Jun 30 12:02:35 2023
0.003068;0.000000;0.006136;0.000000;0.149348;0.000000;62.500000;82.500000;251.500000;81.500000;0.005291;0.004173;0.303149;1;-0.046810;0.086419;0.005577;0.169440;0;Fri Jun 30 12:02:36 2023
0.003068;0.000000;0.006136;0.000000;0.149389;0.000000;62.500000;82.500000;251.500000;81.500000;0.005291;0.000000;0.303149;1;-0.046851;0.045330;0.005806;0.015755;0;Fri Jun 30 12:02:36 2023
0.003068;0.000000;0.006136;0.000000;0.149430;0.000000;62.500000;82.500000;251.500000;81.500000;0.005291;0.000000;0.303149;1;-0.046892;0.053715;0.005690;-0.062188;0;Fri Jun 30 12:02:36 2023
0.003068;0.000000;0.006136;0.000000;0.149471;0.000000;62.500000;82.500000;250.500000;81.500000;0.005319;0.004217;0.304762;1;-0.046933;0.049413;0.005126;-0.063311;0;Fri Jun 30 12:02:36 2023
0.003068;0.000000;0.006136;0.000000;0.149512;0.000000;62.500000;82.500000;251.500000;81.500000;0.005291;-0.004217;0.303149;1;-0.046974;0.028656;0.004831;-0.029755;0;Fri Jun 30 12:02:36 2023
0.003068;0.000000;0.006136;0.000000;0.149594;0.000000;62.500000;82.500000;251.500000;81.500000;0.005291;0.000000;0.303149;1;-0.047055;0.030586;0.005181;0.001927;0;Fri Jun 30 12:02:36 2023
0.003068;0.000000;0.006136;0.000000;0.149594;0.000000;63.500000;81.500000;251.500000;80.500000;0.005319;0.004217;0.304762;1;-0.047055;0.030586;0.005690;0.015346;0;Fri Jun 30 12:02:36 2023
0.003068;0.000000;0.006136;0.000000;0.149676;0.000000;62.500000;82.500000;252.500000;81.500000;0.005263;-0.008390;0.301554;1;-0.047137;0.049208;0.005637;0.012164;0;Fri Jun 30 12:02:36 2023
0.003068;0.000000;0.006136;0.000000;0.149717;0.000000;62.500000;82.500000;251.500000;81.500000;0.005291;0.004173;0.303149;1;-0.047178;0.047207;0.005115;0.004598;0;Fri Jun 30 12:02:36 2023
0.003068;0.000000;0.006136;0.000000;0.149757;0.000000;63.500000;81.500000;251.500000;81.500000;0.000000;-0.792866;0.000000;1;-0.047219;0.027992;0.002893;-0.145061;0;Fri Jun 30 12:02:36 2023
0.003068;0.000000;0.006136;0.000000;0.149798;0.000000;62.500000;83.500000;251.500000;80.500000;0.015872;2.378228;0.909380;1;-0.047260;-0.053671;0.006658;0.196538;0;Fri Jun 30 12:02:36 2023
0.003068;0.000000;0.006136;0.000000;0.149839;0.000000;62.500000;81.500000;252.500000;82.500000;-0.005263;-3.167186;-0.301554;1;-0.047301;0.077101;0.005930;-0.174314;0;Fri Jun 30 12:02:36 2023
0.003068;0.000000;0.006136;0.000000;0.149880;0.000000;63.500000;83.500000;251.500000;82.500000;0.005319;1.585856;0.304762;1;-0.047342;0.077060;0.001861;0.074824;0;Fri Jun 30 12:02:36 2023
0.003068;0.000000;0.006136;0.000000;0.149921;0.000000;62.500000;81.500000;251.500000;81.500000;0.000000;-0.797125;0.000000;1;-0.047383;-0.091750;0.002347;-0.370507;0;Fri Jun 30 12:02:36 2023
0.000000;-0.460194;0.006136;0.000000;0.149962;0.000000;62.500000;83.500000;251.500000;82.500000;0.005291;0.792905;0.303149;1;-1.652154;-0.066316;0.002009;-0.042893;0;Fri Jun 30 12:02:36 2023
0.000000;0.000000;0.009204;0.460194;0.150023;0.000000;61.500000;82.500000;251.500000;82.500000;0.000000;-0.792843;0.000000;1;-0.912076;-0.838249;0.002291;-0.058760;0;Fri Jun 30 12:02:36 2023
0.003068;0.460194;0.009204;0.000000;0.150085;0.000000;63.500000;81.500000;251.500000;82.500000;-0.005319;-0.797110;-0.304762;1;1.439351;-0.081184;-0.000950;-0.132438;0;Fri Jun 30 12:02:36 2023
0.006136;0.460194;0.012272;0.460194;0.150166;0.000000;62.500000;83.500000;251.500000;83.500000;0.000000;0.797097;0.000000;1;0.800149;-0.917317;-0.001748;-0.191583;0;Fri Jun 30 12:02:36 2023
0.006136;0.000000;0.012272;0.000000;0.150248;0.000000;61.500000;83.500000;251.500000;82.500000;0.005263;0.788694;0.301554;1;0.054828;-0.240527;0.001198;-0.018236;0;Fri Jun 30 12:02:36 2023
0.006136;0.000000;0.012272;0.000000;0.150330;0.000000;62.500000;83.500000;251.500000;82.500000;0.005291;0.004173;0.303149;1;0.054747;-0.126693;0.003526;0.312017;0;Fri Jun 30 12:02:36 2023
0.006136;0.000000;0.012272;0.000000;0.150412;0.000000;63.500000;82.500000;250.500000;82.500000;0.000000;-0.792868;0.000000;1;0.054665;-0.029825;0.002894;0.293457;0;Fri Jun 30 12:02:36 2023
0.006136;0.000000;0.012272;0.000000;0.150494;0.000000;63.500000;82.500000;251.500000;82.500000;0.000000;0.000000;0.000000;1;0.054583;-0.055167;0.001567;0.029189;0;Fri Jun 30 12:02:36 2023
0.006136;0.000000;0.012272;0.000000;0.150576;0.000000;62.500000;83.500000;250.500000;81.500000;0.010638;1.594167;0.609507;1;0.054501;-0.113384;0.004780;0.036966;0;Fri Jun 30 12:02:36 2023
