Starting new run:  K= -1.000000, -1.661800, 36.745900, -1.622700, 3.242100 - Fri Jun 30 12:21:13 2023

alphaQube;alphaDotQube;thetaQube;thetaDotQube;z;thetaTarget;p1x;p1y;p2x;p2y;alphaCam;alphaDotCam;cameraAngle;twoDotCheck;Kx;KxCam;alphaFiltered;alphaDotFiltered;camControl;systemTime
0.006136;-0.306796;0.018408;0.000000;0.068845;0.000000;62.500000;86.500000;251.500000;85.500000;0.005291;0.000000;0.303149;1;-0.868629;0.097261;0.005337;0.189015;0;Fri Jun 30 12:21:26 2023
0.006136;0.000000;0.018408;0.000000;0.069029;0.000000;62.500000;86.500000;251.500000;86.500000;0.000000;-0.529769;0.000000;1;0.125851;0.096502;0.004657;0.033041;0;Fri Jun 30 12:21:26 2023
0.006136;0.000000;0.018408;0.000000;0.069029;0.000000;62.500000;87.500000;252.500000;86.500000;0.005263;0.527016;0.301554;1;0.125851;0.096502;0.004146;-0.183093;0;Fri Jun 30 12:21:26 2023
0.006136;0.000000;0.018408;0.000000;0.069213;0.000000;61.500000;87.500000;252.500000;85.500000;0.010471;0.521727;0.599934;1;0.125667;0.052530;0.005086;-0.217168;0;Fri Jun 30 12:21:26 2023
0.006136;0.000000;0.018408;0.000000;0.069397;0.000000;62.500000;87.500000;252.500000;85.500000;0.010526;0.005522;0.603091;1;0.125483;0.086888;0.006453;0.043326;0;Fri Jun 30 12:21:26 2023
0.006136;0.000000;0.018408;0.000000;0.069581;0.000000;61.500000;87.500000;251.500000;84.500000;0.015788;0.527265;0.904595;1;0.125299;0.136945;0.008146;0.388327;0;Fri Jun 30 12:21:26 2023
0.006136;0.000000;0.018408;0.000000;0.069765;0.000000;62.500000;86.500000;251.500000;86.500000;0.000000;-1.581953;0.000000;1;0.125115;0.225401;0.008083;0.403569;0;Fri Jun 30 12:21:26 2023
0.006136;0.000000;0.018408;0.000000;0.069950;0.000000;62.500000;87.500000;252.500000;85.500000;0.010526;1.054672;0.603091;1;0.124930;0.222668;0.007370;0.049110;0;Fri Jun 30 12:21:26 2023
0.006136;0.000000;0.018408;0.000000;0.070134;0.000000;62.500000;86.500000;251.500000;85.500000;0.005291;-0.524530;0.303149;1;0.124746;0.170108;0.007506;-0.354215;0;Fri Jun 30 12:21:26 2023
0.006136;0.000000;0.018408;0.000000;0.070318;0.000000;62.500000;86.500000;251.500000;85.500000;0.005291;0.000000;0.303149;1;0.124562;0.199254;0.006947;-0.381243;0;Fri Jun 30 12:21:26 2023
0.009204;0.306796;0.018408;0.000000;0.070502;0.000000;63.500000;86.500000;251.500000;85.500000;0.005319;0.002820;0.304762;1;1.231777;0.176693;0.006532;-0.099447;0;Fri Jun 30 12:21:26 2023
0.006136;-0.306796;0.018408;0.000000;0.070686;0.000000;62.500000;88.500000;252.500000;85.500000;0.015788;1.048977;0.904595;1;-0.870470;0.138749;0.007548;0.218830;0;Fri Jun 30 12:21:26 2023
0.006136;0.000000;0.015340;-0.306796;0.070839;0.000000;62.500000;86.500000;252.500000;85.500000;0.005263;-1.054560;0.301554;1;0.626977;0.678861;0.008300;0.255246;0;Fri Jun 30 12:21:26 2023
0.006136;0.000000;0.015340;0.000000;0.070993;0.000000;62.500000;86.500000;252.500000;84.500000;0.010526;0.527296;0.603091;1;0.128986;0.235418;0.008198;0.102834;0;Fri Jun 30 12:21:27 2023
0.003068;-0.306796;0.012272;-0.306796;0.071115;0.000000;62.500000;86.500000;251.500000;85.500000;0.005291;-0.524518;0.303149;1;-0.475599;0.707558;0.008125;-0.059294;0;Fri Jun 30 12:21:27 2023
0.003068;0.000000;0.012272;0.000000;0.071238;0.000000;62.500000;86.500000;251.500000;84.500000;0.010582;0.530093;0.606282;1;0.021104;0.206913;0.008077;-0.080707;0;Fri Jun 30 12:21:27 2023
0.003068;0.000000;0.012272;0.000000;0.071361;0.000000;61.500000;86.500000;252.500000;85.500000;0.005236;-0.535654;0.299975;1;0.020981;0.205043;0.008034;-0.059155;0;Fri Jun 30 12:21:27 2023
0.003068;0.000000;0.012272;0.000000;0.071484;0.000000;62.500000;86.500000;251.500000;85.500000;0.005291;0.005551;0.303149;1;0.020858;0.203357;0.007334;-0.043286;0;Fri Jun 30 12:21:27 2023
0.003068;0.000000;0.012272;0.000000;0.071606;0.000000;63.500000;85.500000;251.500000;85.500000;0.000000;-0.530110;0.000000;1;0.020735;0.177512;0.006150;-0.111204;0;Fri Jun 30 12:21:27 2023
0.003068;0.000000;0.012272;0.000000;0.071729;0.000000;62.500000;86.500000;251.500000;85.500000;0.005291;0.530121;0.303149;1;0.020613;0.133866;0.005265;-0.176231;0;Fri Jun 30 12:21:27 2023
0.003068;0.000000;0.012272;0.000000;0.071852;0.000000;62.500000;85.500000;252.500000;86.500000;-0.005263;-1.057488;-0.301554;1;0.020490;0.101214;0.003938;-0.216580;0;Fri Jun 30 12:21:27 2023
0.003068;0.000000;0.012272;0.000000;0.071974;0.000000;62.500000;86.500000;250.500000;85.500000;0.005319;1.060279;0.304762;1;0.020367;0.052353;0.002951;-0.144909;0;Fri Jun 30 12:21:27 2023
0.003068;0.000000;0.012272;0.000000;0.072097;0.000000;62.500000;86.500000;251.500000;85.500000;0.005291;-0.002820;0.303149;1;0.020245;0.015933;0.003545;0.000091;0;Fri Jun 30 12:21:27 2023
0.003068;0.000000;0.012272;0.000000;0.072220;0.000000;63.500000;85.500000;252.500000;85.500000;0.000000;-0.530141;0.000000;1;0.020122;0.037664;0.003318;0.137372;0;Fri Jun 30 12:21:27 2023
0.003068;0.000000;0.012272;0.000000;0.072343;0.000000;61.500000;86.500000;251.500000;85.500000;0.005263;0.527348;0.301554;1;0.019999;0.029189;0.003145;0.156896;0;Fri Jun 30 12:21:27 2023
0.003068;0.000000;0.012272;0.000000;0.072465;0.000000;62.500000;85.500000;251.500000;85.500000;0.000000;-0.527348;0.000000;1;0.019876;0.022694;0.003015;0.053852;0;Fri Jun 30 12:21:27 2023
0.003068;0.000000;0.012272;0.000000;0.072711;0.000000;62.500000;85.500000;251.500000;85.500000;0.000000;0.000000;0.000000;1;0.019631;0.017686;0.002253;-0.091990;0;Fri Jun 30 12:21:27 2023
0.003068;0.000000;0.012272;0.000000;0.072833;0.000000;63.500000;85.500000;252.500000;84.500000;0.005291;0.529756;0.303149;1;0.019508;-0.010422;0.002352;-0.142196;0;Fri Jun 30 12:21:27 2023
0.003068;0.000000;0.012272;0.000000;0.072833;0.000000;62.500000;86.500000;252.500000;85.500000;0.005263;-0.002788;0.301554;1;0.019508;-0.010422;0.003091;-0.018000;0;Fri Jun 30 12:21:27 2023
0.003068;0.000000;0.012272;0.000000;0.072956;0.000000;63.500000;85.500000;252.500000;85.500000;0.000000;-0.527240;0.000000;1;0.019386;0.020240;0.002975;0.126583;0;Fri Jun 30 12:21:27 2023
0.003068;0.000000;0.012272;0.000000;0.073079;0.000000;62.500000;86.500000;252.500000;85.500000;0.005263;0.527335;0.301554;1;0.019263;0.015851;0.002888;0.142753;0;Fri Jun 30 12:21:27 2023
0.003068;0.000000;0.012272;0.000000;0.073202;0.000000;62.500000;86.500000;251.500000;85.500000;0.005291;0.002790;0.303149;1;0.019140;0.012539;0.003492;0.033006;0;Fri Jun 30 12:21:27 2023
