Starting new run: Thu Jun  8 12:54:22 2023

cameraAngle;alphaCam;alphaDotCam;alphaQube;alphaDotQube;Kx;KxCam;systemTime
0.005988;0.000105;0.020445;0.003068;0.230097;0.421174;-0.588354;Thu Jun  8 12:54:33 2023
0.041892;0.000731;0.061109;0.003068;0.000000;0.033964;0.177860;Thu Jun  8 12:54:33 2023
0.005952;0.000104;-0.061168;0.003068;0.000000;0.034330;-0.358839;Thu Jun  8 12:54:33 2023
0.000000;0.000000;-0.010131;0.000000;-0.230097;-1.064613;-0.151489;Thu Jun  8 12:54:33 2023
0.023948;0.000418;0.040759;0.003068;0.230097;0.990241;0.079767;Thu Jun  8 12:54:33 2023
0.005952;0.000104;-0.030629;0.006136;0.230097;0.547412;-0.818294;Thu Jun  8 12:54:33 2023
0.000000;0.000000;-0.010131;0.003068;-0.230097;-0.939472;-0.170479;Thu Jun  8 12:54:33 2023
0.017855;0.000312;0.030391;0.003068;0.000000;0.015707;0.012378;Thu Jun  8 12:54:33 2023
0.000000;0.000000;-0.030392;0.006136;0.230097;1.115016;-0.254585;Thu Jun  8 12:54:33 2023
0.011975;0.000209;0.020384;0.006136;0.000000;0.159837;-0.033986;Thu Jun  8 12:54:33 2023
0.017855;0.000312;0.010008;0.003068;-0.230097;-0.352148;0.515088;Thu Jun  8 12:54:33 2023
0.005952;0.000104;-0.020262;0.003068;0.000000;0.035793;-0.187566;Thu Jun  8 12:54:33 2023
0.006024;0.000105;0.000122;0.003068;0.000000;0.036159;-0.102525;Thu Jun  8 12:54:33 2023
0.000000;0.000000;-0.010254;0.003068;0.000000;0.036525;-0.150172;Thu Jun  8 12:54:33 2023
0.018070;0.000315;0.030760;0.003068;0.000000;0.036891;0.035269;Thu Jun  8 12:54:33 2023
0.012048;0.000210;-0.010252;0.003068;0.000000;0.037257;-0.139552;Thu Jun  8 12:54:33 2023
0.006061;0.000106;-0.010191;0.003068;0.000000;0.037623;-0.143843;Thu Jun  8 12:54:33 2023
0.005952;0.000104;-0.000184;0.003068;0.000000;0.037989;-0.102025;Thu Jun  8 12:54:33 2023
0.005952;0.000104;0.000000;0.003068;0.000000;0.038354;-0.100895;Thu Jun  8 12:54:33 2023
0.000000;0.000000;-0.010133;0.003068;0.000000;0.038720;-0.147473;Thu Jun  8 12:54:33 2023
0.000000;0.000000;0.000000;0.003068;0.000000;0.039086;-0.105044;Thu Jun  8 12:54:33 2023
0.042144;0.000736;0.071753;0.003068;0.000000;0.039452;0.227740;Thu Jun  8 12:54:33 2023
0.024385;0.000426;-0.030237;0.003068;0.000000;0.039818;-0.209839;Thu Jun  8 12:54:33 2023
0.018180;0.000317;-0.010566;0.003068;0.000000;0.040184;-0.132903;Thu Jun  8 12:54:33 2023
0.005988;0.000105;-0.020758;0.003068;0.000000;0.040550;-0.184840;Thu Jun  8 12:54:33 2023
0.000000;0.000000;-0.010194;0.003068;0.000000;0.040916;-0.145533;Thu Jun  8 12:54:33 2023
0.012121;0.000212;0.020634;0.003068;0.000000;0.041281;-0.007252;Thu Jun  8 12:54:33 2023
0.000000;0.000000;-0.020633;0.006136;0.230097;1.140956;-0.188135;Thu Jun  8 12:54:33 2023
0.024092;0.000420;0.041010;0.003068;-0.230097;-0.325842;0.675200;Thu Jun  8 12:54:33 2023
0.000000;0.000000;-0.041011;0.000000;-0.230097;-0.449520;0.335413;Thu Jun  8 12:54:33 2023
-0.011834;-0.000207;-0.020147;-0.003068;-0.230097;-0.572831;0.433140;Thu Jun  8 12:54:33 2023
0.018180;0.000317;0.051098;-0.003068;0.000000;-0.183792;0.187360;Thu Jun  8 12:54:33 2023
0.000000;0.000000;-0.030950;-0.003068;0.000000;-0.769653;-0.754003;Thu Jun  8 12:54:33 2023
0.012048;0.000210;0.020510;0.000000;0.230097;0.311033;-0.549127;Thu Jun  8 12:54:33 2023
0.018291;0.000319;0.010628;0.006136;0.460194;1.535483;-0.604018;Thu Jun  8 12:54:33 2023
0.024385;0.000426;0.010376;0.009204;0.230097;0.705080;-0.619423;Thu Jun  8 12:54:33 2023
0.000000;0.000000;-0.041514;0.003068;-0.460194;-0.706466;0.887431;Thu Jun  8 12:54:33 2023
0.024385;0.000426;0.041512;-0.003068;-0.460194;-1.541877;0.704931;Thu Jun  8 12:54:33 2023
0.006024;0.000105;-0.031257;-0.003068;0.000000;-0.198024;-0.178708;Thu Jun  8 12:54:34 2023
0.000000;0.000000;-0.010255;0.003068;0.460194;0.827043;-1.270015;Thu Jun  8 12:54:34 2023
-0.011904;-0.000208;-0.020265;0.009204;0.460194;1.663552;-0.773081;Thu Jun  8 12:54:34 2023
0.005988;0.000105;0.030460;0.006136;-0.230097;-0.778512;0.019762;Thu Jun  8 12:54:34 2023
0.024238;0.000423;0.031069;0.000000;-0.460194;-0.847303;1.211902;Thu Jun  8 12:54:34 2023
0.018180;0.000317;-0.010313;0.000000;0.000000;-0.071420;-0.099325;Thu Jun  8 12:54:34 2023
0.005952;0.000104;-0.020817;0.003068;0.230097;0.441297;-0.739545;Thu Jun  8 12:54:34 2023
0.005952;0.000104;0.000000;0.003068;0.000000;0.054087;-0.085162;Thu Jun  8 12:54:34 2023
0.042144;0.000736;0.061614;0.003068;0.000000;0.054453;0.200651;Thu Jun  8 12:54:34 2023
0.023805;0.000415;-0.031221;0.003068;0.000000;0.054819;-0.199398;Thu Jun  8 12:54:34 2023
0.005952;0.000104;-0.030394;0.003068;0.000000;0.055185;-0.210237;Thu Jun  8 12:54:34 2023
0.005952;0.000104;0.000000;0.003068;0.000000;0.055551;-0.083699;Thu Jun  8 12:54:34 2023
0.018180;0.000317;0.020818;0.003068;0.000000;0.055916;0.013111;Thu Jun  8 12:54:34 2023
0.000000;0.000000;-0.030952;0.000000;-0.230097;-1.043027;-0.216335;Thu Jun  8 12:54:34 2023
0.005952;0.000104;0.010134;0.003068;0.230097;0.424503;-0.627855;Thu Jun  8 12:54:34 2023
0.000000;0.000000;-0.010135;0.006136;0.230097;0.548913;-0.736597;Thu Jun  8 12:54:34 2023
0.011904;0.000208;0.020269;0.009204;0.230097;0.672956;-0.620709;Thu Jun  8 12:54:34 2023
0.017962;0.000313;0.010316;0.006136;-0.230097;-0.814660;-0.090190;Thu Jun  8 12:54:34 2023
0.011904;0.000208;-0.010316;0.006136;0.000000;0.727111;0.405789;Thu Jun  8 12:54:34 2023
0.012121;0.000212;0.000369;0.006136;0.000000;0.159142;-0.117649;Thu Jun  8 12:54:34 2023
0.036348;0.000634;0.041259;0.003068;-0.230097;-0.940533;0.071595;Thu Jun  8 12:54:34 2023
0.000000;0.000000;-0.061898;0.003068;0.000000;0.014280;-0.386800;Thu Jun  8 12:54:34 2023
0.006024;0.000105;0.010258;0.006136;0.230097;0.525899;-0.670018;Thu Jun  8 12:54:34 2023
0.006024;0.000105;0.000000;0.009204;0.230097;1.236901;-0.145728;Thu Jun  8 12:54:34 2023
0.006024;0.000105;0.000000;0.006136;-0.230097;-0.818319;-0.146460;Thu Jun  8 12:54:34 2023
0.011975;0.000209;0.010134;0.003068;-0.230097;0.211468;1.074403;Thu Jun  8 12:54:34 2023
0.012048;0.000210;0.000123;0.000000;-0.230097;-1.067869;-0.102302;Thu Jun  8 12:54:34 2023
0.000000;0.000000;-0.020512;0.000000;0.000000;-0.112690;-0.197839;Thu Jun  8 12:54:34 2023
0.000000;0.000000;0.000000;0.003068;0.230097;0.399295;-0.700014;Thu Jun  8 12:54:34 2023
0.000000;0.000000;0.000000;0.009204;0.460194;1.622647;-0.720100;Thu Jun  8 12:54:34 2023
0.006061;0.000106;0.010318;0.006136;-0.230097;-0.820148;-0.105427;Thu Jun  8 12:54:34 2023
0.023948;0.000418;0.030450;0.003068;-0.230097;-0.377686;0.579405;Thu Jun  8 12:54:34 2023
0.000000;0.000000;-0.040767;0.000000;-0.230097;-0.502461;0.283487;Thu Jun  8 12:54:34 2023
-0.005988;-0.000105;-0.010193;0.003068;0.230097;0.397100;-0.749434;Thu Jun  8 12:54:34 2023
-0.005952;-0.000104;0.000061;0.003068;0.000000;0.009158;-0.139600;Thu Jun  8 12:54:34 2023
0.024092;0.000420;0.051140;0.003068;0.000000;0.008792;0.096707;Thu Jun  8 12:54:34 2023
0.000000;0.000000;-0.041007;0.003068;0.000000;0.008426;-0.305932;Thu Jun  8 12:54:34 2023
0.006024;0.000105;0.010254;0.006136;0.230097;0.520045;-0.675889;Thu Jun  8 12:54:34 2023
0.023948;0.000418;0.030508;0.003068;-0.230097;-0.380247;0.577082;Thu Jun  8 12:54:34 2023
0.023805;0.000415;-0.000243;0.003068;0.000000;0.006963;-0.118655;Thu Jun  8 12:54:34 2023
0.017962;0.000313;-0.009944;0.003068;0.000000;0.006597;-0.164085;Thu Jun  8 12:54:34 2023
0.017962;0.000313;0.000000;0.003068;0.000000;0.006231;-0.123171;Thu Jun  8 12:54:34 2023
0.005952;0.000104;-0.020439;0.003068;0.000000;0.005865;-0.218230;Thu Jun  8 12:54:34 2023
0.024092;0.000420;0.030869;0.003068;0.000000;0.005499;0.009268;Thu Jun  8 12:54:34 2023
0.006024;0.000105;-0.030746;0.003068;0.000000;0.005133;-0.261690;Thu Jun  8 12:54:34 2023
0.006024;0.000105;0.000000;0.003068;0.000000;0.004768;-0.134423;Thu Jun  8 12:54:34 2023
0.030111;0.000526;0.040987;0.003068;0.000000;0.004402;0.055108;Thu Jun  8 12:54:34 2023
0.018180;0.000317;-0.020303;0.003068;0.000000;0.004036;-0.209468;Thu Jun  8 12:54:34 2023
0.023948;0.000418;0.009814;0.003068;0.000000;0.003670;-0.080083;Thu Jun  8 12:54:34 2023
0.024238;0.000423;0.000494;0.003068;0.000000;0.003304;-0.118903;Thu Jun  8 12:54:34 2023
0.024092;0.000420;-0.000248;0.003068;0.000000;0.002938;-0.122469;Thu Jun  8 12:54:34 2023
0.011834;0.000207;-0.020859;0.003068;0.000000;0.002572;-0.218446;Thu Jun  8 12:54:34 2023
0.017962;0.000313;0.010429;0.003068;0.000000;0.002206;-0.083903;Thu Jun  8 12:54:34 2023
0.011975;0.000209;-0.010188;0.003068;0.000000;0.001841;-0.174761;Thu Jun  8 12:54:34 2023
0.006024;0.000105;-0.010128;0.003068;0.000000;0.001475;-0.179758;Thu Jun  8 12:54:34 2023
0.005952;0.000104;-0.000122;0.003068;0.000000;0.001109;-0.138647;Thu Jun  8 12:54:34 2023
0.017645;0.000308;0.019898;0.003068;0.000000;0.000743;-0.046317;Thu Jun  8 12:54:34 2023
0.011904;0.000208;-0.009770;0.003068;0.000000;0.000377;-0.174548;Thu Jun  8 12:54:34 2023
0.024092;0.000420;0.020740;0.003068;0.000000;0.000011;-0.038270;Thu Jun  8 12:54:34 2023
0.000000;0.000000;-0.040998;0.003068;0.000000;-0.000355;-0.314673;Thu Jun  8 12:54:34 2023
0.000000;0.000000;0.000000;0.003068;0.000000;-0.000721;-0.144850;Thu Jun  8 12:54:34 2023
0.012048;0.000210;0.020502;0.003068;0.000000;-0.001086;-0.050231;Thu Jun  8 12:54:34 2023
0.024092;0.000420;0.020496;0.003068;0.000000;-0.001452;-0.040744;Thu Jun  8 12:54:34 2023
0.017962;0.000313;-0.010431;0.003068;0.000000;-0.001818;-0.174522;Thu Jun  8 12:54:34 2023
0.011975;0.000209;-0.010188;0.003068;0.000000;-0.002184;-0.178789;Thu Jun  8 12:54:34 2023
0.006024;0.000105;-0.010128;0.003068;0.000000;-0.002550;-0.183785;Thu Jun  8 12:54:34 2023
0.000000;0.000000;-0.010252;0.003068;0.000000;-0.002916;-0.189602;Thu Jun  8 12:54:34 2023
0.005988;0.000105;0.010190;0.000000;-0.230097;-1.102591;-0.100202;Thu Jun  8 12:54:34 2023
0.023948;0.000418;0.030561;0.003068;0.230097;0.364208;-0.588600;Thu Jun  8 12:54:34 2023
0.011975;0.000209;-0.020372;0.009204;0.460194;1.587194;-0.830301;Thu Jun  8 12:54:34 2023
0.036129;0.000631;0.041099;0.009204;0.000000;0.243342;0.011186;Thu Jun  8 12:54:34 2023
0.011834;0.000207;-0.041339;0.003068;-0.460194;-1.369050;0.235277;Thu Jun  8 12:54:34 2023
0.018180;0.000317;0.010797;0.000000;-0.230097;-1.126336;-0.111428;Thu Jun  8 12:54:34 2023
0.000000;0.000000;-0.030931;0.006136;0.460194;1.439406;-0.887613;Thu Jun  8 12:54:34 2023
0.000000;0.000000;0.000000;0.012272;0.460194;1.706847;-0.780030;Thu Jun  8 12:54:34 2023
0.017855;0.000312;0.030378;0.009204;-0.230097;-0.149356;0.514180;Thu Jun  8 12:54:35 2023
0.011975;0.000209;-0.010004;0.000000;-0.690291;-1.886157;0.947673;Thu Jun  8 12:54:35 2023
0.000000;0.000000;-0.020374;-0.003068;-0.230097;-0.668177;0.346554;Thu Jun  8 12:54:35 2023
0.000000;0.000000;0.000000;0.003068;0.460194;1.330692;-0.723796;Thu Jun  8 12:54:35 2023
0.011834;0.000207;0.020132;0.006136;0.230097;0.499556;-0.650606;Thu Jun  8 12:54:35 2023
0.011975;0.000209;0.000241;0.003068;-0.230097;-0.988060;-0.166191;Thu Jun  8 12:54:35 2023
0.006024;0.000105;-0.010124;0.003068;0.000000;0.553711;0.372493;Thu Jun  8 12:54:35 2023
0.030478;0.000105;0.000000;0.003068;0.000000;-0.601582;-0.740772;Thu Jun  8 12:54:35 2023
0.000000;0.000532;0.041597;0.006136;0.230097;1.064599;0.018830;Thu Jun  8 12:54:35 2023
0.024092;0.000000;-0.051843;0.006136;0.000000;0.108688;-0.394781;Thu Jun  8 12:54:35 2023
0.011975;0.000420;0.040978;0.003068;-0.230097;-0.991353;0.009558;Thu Jun  8 12:54:35 2023
0.011975;0.000209;-0.020608;0.006136;0.230097;1.062403;-0.256765;Thu Jun  8 12:54:35 2023
0.017962;0.000313;0.010183;0.006136;0.000000;0.106493;-0.124768;Thu Jun  8 12:54:35 2023
0.030478;0.000532;0.021291;0.003068;-0.230097;-0.406224;0.518197;Thu Jun  8 12:54:35 2023
0.006024;0.000105;-0.041601;0.003068;0.000000;-0.019014;-0.330901;Thu Jun  8 12:54:35 2023
0.017962;0.000313;0.020311;0.003068;0.000000;-0.019380;-0.064467;Thu Jun  8 12:54:35 2023
0.018180;0.000317;0.000370;0.006136;0.230097;1.079563;-0.147432;Thu Jun  8 12:54:35 2023
0.011975;0.000209;-0.010556;0.006136;0.000000;0.124018;-0.198242;Thu Jun  8 12:54:35 2023
-0.005952;-0.000104;-0.030502;0.000000;-0.460194;-0.900318;0.878540;Thu Jun  8 12:54:35 2023
0.000000;0.000000;0.010127;0.000000;0.000000;-0.124801;-0.082761;Thu Jun  8 12:54:35 2023
0.000000;0.000000;0.000000;0.000000;0.000000;-0.124435;-0.124435;Thu Jun  8 12:54:35 2023
0.011975;0.000209;0.020375;0.000000;0.000000;-0.124069;-0.029670;Thu Jun  8 12:54:35 2023
0.000000;0.000000;-0.020375;0.003068;0.230097;0.975606;-0.208282;Thu Jun  8 12:54:35 2023
0.000000;0.000000;0.000000;0.000000;-0.230097;-1.078517;-0.123337;Thu Jun  8 12:54:35 2023
0.018180;0.000317;0.030930;0.000000;0.000000;0.464352;0.607657;Thu Jun  8 12:54:35 2023
0.024092;0.000420;0.010058;0.000000;0.000000;-0.102519;-0.041012;Thu Jun  8 12:54:35 2023
0.000000;0.000000;-0.040990;0.000000;0.000000;-0.101788;-0.271944;Thu Jun  8 12:54:35 2023
0.012048;0.000210;0.020498;0.000000;0.000000;-0.101056;-0.006085;Thu Jun  8 12:54:35 2023
0.000000;0.000000;-0.020499;0.000000;0.000000;-0.100324;-0.185419;Thu Jun  8 12:54:35 2023
-0.005988;-0.000105;-0.010188;0.000000;0.000000;-0.099592;-0.146796;Thu Jun  8 12:54:35 2023
-0.005988;-0.000105;0.000000;0.000000;0.000000;-0.098861;-0.103770;Thu Jun  8 12:54:35 2023
0.011904;0.000208;0.030440;0.000000;0.000000;-0.098129;0.037996;Thu Jun  8 12:54:35 2023
0.011975;0.000209;0.000121;0.000000;0.000000;-0.097397;-0.087075;Thu Jun  8 12:54:35 2023
0.030111;0.000526;0.030853;0.000000;0.000000;-0.096665;0.056100;Thu Jun  8 12:54:35 2023
-0.006024;-0.000105;-0.061470;0.000000;0.000000;-0.095934;-0.356048;Thu Jun  8 12:54:35 2023
-0.005988;-0.000105;0.000061;0.000000;0.000000;-0.095202;-0.099857;Thu Jun  8 12:54:35 2023
0.000000;0.000000;0.010185;0.000000;0.000000;-0.094470;-0.052189;Thu Jun  8 12:54:35 2023
0.005988;0.000105;0.010185;0.000000;0.000000;-0.093738;-0.046549;Thu Jun  8 12:54:35 2023
0.012048;0.000210;0.010306;-0.003068;-0.230097;-1.192316;-0.040344;Thu Jun  8 12:54:35 2023
0.012048;0.000210;0.000000;0.000000;0.230097;0.275580;-0.669721;Thu Jun  8 12:54:35 2023
